model,marca,model name,engine,drive,transmission,year,version url,Motor - Combustible,Motor - Cilindrada,Motor - Potencia,Motor - Torque,Motor - Alimentación,Motor - Cilindros,Motor - Válvulas,Motor - Catalítico,Motor - Sistema start / stop,Performance - Aceleración 0-100 km/h,Performance - Rendimiento en ciudad,Performance - Rendimiento en ruta,Performance - Rendimiento mixto,Performance - Velocidad máxima,Transmisión y chasis - Motor - tracción,Transmisión y chasis - Transmisión,Transmisión y chasis - Neumáticos,Transmisión y chasis - Frenos (del. - tras.),Transmisión y chasis - Suspensión delantera,Transmisión y chasis - Suspensión trasera,Medidas y capacidades - Largo,Medidas y capacidades - Ancho sin espejos,Medidas y capacidades - Ancho con espejos,Medidas y capacidades - Alto,Medidas y capacidades - Distancia entre ejes,Medidas y capacidades - Baúl,Medidas y capacidades - Tanque de combustible,Medidas y capacidades - Peso,Medidas y capacidades - Capacidad de carga,Medidas y capacidades - Altura de piso,Medidas y capacidades - Capacidad de vadeo,Medidas y capacidades - Ángulo de ataque,Medidas y capacidades - Ángulo de partida,Medidas y capacidades - Ángulo ventral,Medidas y capacidades - Remolque con frenos,Medidas y capacidades - Remolque sin frenos,Medidas y capacidades - Capacidad de pendiente,Medidas y capacidades - Escalonamiento vertical,Medidas y capacidades - Inclinación lateral,Confort - Aire acondicionado,Confort - Alarma de luces encendidas,Confort - Asientos delanteros,Confort - Asientos traseros,Confort - Tapizados,Confort - Cierre de puertas,Confort - Vidrios (del. - tras.),Confort - Espejos exteriores,Confort - Espejo interior,Confort - Faros delanteros,Confort - Faros antiniebla,Confort - Computadora de a bordo,Confort - Dirección asistida,Confort - Llantas,Confort - Techo solar,Confort - Volante,Confort - Apertura de baúl y tapa de combustible,Confort - Sensores de estacionamiento,Seguridad - ABS,Seguridad - Distribución electrónica de frenado,Seguridad - Airbags,Seguridad - Alarma e inmovilizador de motor,Seguridad - Anclaje para asientos infantiles,Seguridad - Cinturones de seguridad,Seguridad - Tercera luz de stop,Seguridad - Control de tracción,Comunicación y entretenimiento - Equipo de música,Comunicación y entretenimiento - Parlantes,Comunicación y entretenimiento - Conexión auxiliar (iPod y Mp3),Comunicación y entretenimiento - Interfaz bluetooth,Comunicación y entretenimiento - Pantalla,Seguridad - Otros,Seguridad - Autobloqueo de puertas con velocidad,Confort - Control de velocidad crucero,Confort - Encendido del motor,Seguridad - Control de estabilidad,Comunicación y entretenimiento - Apple Carplay / Android Auto,Comunicación y entretenimiento - Conexión USB,Confort - Limpialuneta,Confort - Cámara de visión,Seguridad - Asistencia en frenada de emergencia,Comunicación y entretenimiento - Reproducción de audio vía bluetooth,Comunicación y entretenimiento - Sistema de control por voz para dispositivos,Comunicación y entretenimiento - MirrorLink,Comunicación y entretenimiento - Recarga inalámbrica del celular,Seguridad - Sensor de lluvia,Confort - Limitador de velocidad,Comunicación y entretenimiento - Wi-Fi,Confort - Puertas,Seguridad - Encendido automático de balizas,Seguridad - Luz de freno variable,Confort - Sistema de estacionamiento asistido,Confort - Palanca de cambios,Seguridad - Cabeceras delanteras activas,Comunicación y entretenimiento - Sistema de video,Comunicación y entretenimiento - Sistema de navegación,Transmisión y chasis - Neumáticos delanteros,Transmisión y chasis - Neumáticos traseros,Batería - Cantidad de celdas,Batería - Cantidad de módulos,Batería - Potencia,Batería - Tipo,Batería - Voltaje,Batería - Ubicación,Motor eléctrico - Potencia,Motor eléctrico - Torque,Motor eléctrico - Voltaje,Comunicación y entretenimiento - Preinstalación teléfono,Motor - Potencia total sistema híbrido,Comunicación y entretenimiento - Disco rígido
nissan nv350 2.5l,nissan,nv350 2.5l,,,,,https://www.autocosmos.cl/catalogo/2025/nissan/navara/se-4x2/179677,diesel,2300 cc,158/3750 cv/rpm,403/1500-2500 N·m/rpm,inyección directa turbo,4 en línea,16,sí,no,N/D,"12,5 km/l","15,2 km/l","14,1 km/l",N/D,delantero - trasera,manual 6 velocidades,255/65/R17,discos ventilados - tambor,independiente de doble horquilla con barra estabilizadora,"Multi-Link con eje rígido, resortes helicoidales y barra estabilizadora",5253 mm,1790 mm,N/D,1803 mm,3150 mm,N/D,80 l,1875 kg,1165 kg,214 mm,,"30,2°","24,6°","21,9°",3500 kg,N/D,,,,manual,sí,"con ajuste en altura solo conductor, con ajuste manual",abatibles completo,tela,centralizado con comando a distancia,eléctricos - manuales,eléctricos,antideslumbrante manual,fijos,delanteros,sí,eléctrica,acero,no tiene,sin regulación,interna solo tapa de combustible,,sí,sí,"conductor y acompañante, de cabeza delanteros (cortina), laterales delanteros",alarma e inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,sí,AM - FM y CD con lector de Mp3,6,sí,sí,,"asistente para arranque en pendientes, control de estabilidad para remolques",,sí,,sí,,sí,,,sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nissan nv350 2.5l bus wide s long 15 pas,nissan,nv350 2.5l bus wide s long 15 pas,,,,,https://www.autocosmos.cl/catalogo/2025/nissan/pathfinder/35l-exclusive-4x4/179655,diesel,3488 cc,270/6400 cv/rpm,340/4800 N·m/rpm,inyección directa common rail turbo intercooler,6 en V,16,sí,N/D,N/D,N/D,N/D,N/D,N/D,delantero - integral,automática 9 velocidades,255/50/R20,discos ventilados - discos ventilados,independiente tipo McPherson,Independiente Multi-Link,5004 mm,1978 mm,N/D,1800 mm,2900 mm,205/554/782 dm3,70 l,2098 kg,652 kg,180 mm,N/D,N/D,N/D,N/D,,,N/D,N/D,N/D,climatizador trizona,sí,"calefaccionables, con ajuste eléctrico, con ajuste lumbar solo conductor, con memorias solo conductor","2da. fila abatibles 60/40 y 3ra. fila 50/50, abatibles 60/40",cuero,centralizado con comando a distancia,eléctricos - eléctricos,"con función de plegado eléctrico, con luz de giro incorporadas, eléctricos y térmicos",antideslumbrante automático,"con encendido y apagado automático, con luces led",delanteros,sí,"eléctrica, hidráulica progresiva",aleación,eléctrico,"con ajuste eléctrico y memorias, con ajuste en altura y profundidad, multifunción revestido en cuero",interna y a distancia solo baúl,delanteros y traseros,sí,sí,"conductor y acompañante, de cabeza delanteros (cortina), de rodilla conductor, laterales delanteros",alarma e inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,sí,"AM - FM y CD con lector de Mp3, con comandos de audio al volante",12,sí,,"táctil de 12,3""","advertencia de colisión con autofrenado, asistente para arranque en pendientes, control de descenso en pendientes, indicador de presión de neumáticos, sistema de advertencia de salida de carril, sistema de alerta del punto ciego",sí,adaptativa,"con botón, con sistema remoto",sí,sí,sí,sí,periférica (360°),sí,,,,sí,,,,,,,,"levas de cambios al volante - paddle shifters, revestida en cuero",,,,,,,,,,,,,,,,,
nissan nv350 2.5l escolar 24pas,nissan,nv350 2.5l escolar 24pas,,,,,https://www.autocosmos.cl/catalogo/2025/nissan/pathfinder/35l-exclusive-4x4/179655,diesel,3488 cc,270/6400 cv/rpm,340/4800 N·m/rpm,inyección directa common rail turbo intercooler,6 en V,16,sí,N/D,N/D,N/D,N/D,N/D,N/D,delantero - integral,automática 9 velocidades,255/50/R20,discos ventilados - discos ventilados,independiente tipo McPherson,Independiente Multi-Link,5004 mm,1978 mm,N/D,1800 mm,2900 mm,205/554/782 dm3,70 l,2098 kg,652 kg,180 mm,N/D,N/D,N/D,N/D,,,N/D,N/D,N/D,climatizador trizona,sí,"calefaccionables, con ajuste eléctrico, con ajuste lumbar solo conductor, con memorias solo conductor","2da. fila abatibles 60/40 y 3ra. fila 50/50, abatibles 60/40",cuero,centralizado con comando a distancia,eléctricos - eléctricos,"con función de plegado eléctrico, con luz de giro incorporadas, eléctricos y térmicos",antideslumbrante automático,"con encendido y apagado automático, con luces led",delanteros,sí,"eléctrica, hidráulica progresiva",aleación,eléctrico,"con ajuste eléctrico y memorias, con ajuste en altura y profundidad, multifunción revestido en cuero",interna y a distancia solo baúl,delanteros y traseros,sí,sí,"conductor y acompañante, de cabeza delanteros (cortina), de rodilla conductor, laterales delanteros",alarma e inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,sí,"AM - FM y CD con lector de Mp3, con comandos de audio al volante",12,sí,,"táctil de 12,3""","advertencia de colisión con autofrenado, asistente para arranque en pendientes, control de descenso en pendientes, indicador de presión de neumáticos, sistema de advertencia de salida de carril, sistema de alerta del punto ciego",sí,adaptativa,"con botón, con sistema remoto",sí,sí,sí,sí,periférica (360°),sí,,,,sí,,,,,,,,"levas de cambios al volante - paddle shifters, revestida en cuero",,,,,,,,,,,,,,,,,
nissan nv350 2.5l pasajeros 15,nissan,nv350 2.5l pasajeros 15,,,,,https://www.autocosmos.cl/catalogo/2025/nissan/versa/16l-advance-cvt/179675,bencina,1600 cc,118/6300 cv/rpm,149/4000 N·m/rpm,inyección electrónica secuencial multipunto,4 en línea,16,sí,no,N/D,"12,3 km/l","20,1 km/l","16,3 km/l",N/D,delantero - delantera,automática CVT,205/55/R16,discos ventilados - tambor,"independiente, tipo McPherson con barra estabilizadora",eje semi-rígido con barra estabilizadora,4495 mm,1740 mm,N/D,1465 mm,2620 mm,482 dm3,41 l,1131 kg,409 kg,N/D,,,,,,,,,,manual,sí,"con ajuste en altura solo conductor, con ajuste manual",abatibles 60/40,tela,centralizado con comando a distancia,eléctricos - eléctricos,eléctricos,antideslumbrante manual,fijos,delanteros,sí,eléctrica,aleación,no tiene,"con ajuste en altura y profundidad, multifunción",interna y a distancia solo baúl,traseros,sí,sí,"conductor y acompañante, de cabeza delanteros (cortina), laterales delanteros",alarma e inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,,"AM - FM y CD con lector de Mp3, con comandos de audio al volante",4,sí,sí,táctil de 7'',"asistente para arranque en pendientes, control de estabilidad antivuelco",,sí,con botón,,sí,sí,,trasera,sí,sí,sí,,,,,,,,,,,,,,,,,,,,,,,,,,,
nissan nv350 2.5l turismo confort,nissan,nv350 2.5l turismo confort,,,,,https://www.autocosmos.cl/catalogo/2025/nissan/x-trail-e-power/advance-awd/179669,,,,,,,,,sí,N/D,,,,N/D,delantero - integral,automática,235/60/R18,discos ventilados - discos ventilados,independiente con barra estabilizadora,barra de torsión y barra estabilizadora,4645 mm,1840 mm,1840 mm,1695 mm,2705 mm,485 dm3,,1939 kg,566 kg,N/D,,,,,,,,,,climatizador bizona,sí,"con ajuste en altura y lumbar para el conductor, con ajuste manual",abatibles 40/20/40,tela,centralizado con comando a distancia,eléctricos - eléctricos,"abatibles automáticamente, eléctricos y térmicos",antideslumbrante automático,"con encendido y apagado automático, con luces led",delanteros y traseros,sí,eléctrica,aleación,panoramico fijo,"con ajuste en altura y profundidad, multifunción revestido en símil cuero",,traseros,sí,sí,"conductor y acompañante, de cabeza delanteros (cortina), laterales delanteros y traseros",alarma e inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,,"AM - FM con lector MP3, con comandos de audio al volante",6,sí,sí,"táctil de 8""","advertencia de colisión con autofrenado, asistente para arranque en pendientes, asistente para cambio de carril, indicador de presión de neumáticos, sistema de advertencia de salida de carril, sistema de alerta del punto ciego",sí,adaptativa,"con botón, con sistema remoto",sí,sí,sí,,trasera,sí,sí,,,,,sí,,,,,sí,,,,,,,,,,ion litio,,central,205/5000 cv/rpm,330/3505 N·m/rpm,240 V,,,
nissan nv350 2.5l wide s-long cargo,nissan,nv350 2.5l wide s-long cargo,,,,,https://www.autocosmos.cl/catalogo/2025/nissan/pathfinder/35l-advance-4x2/179653,diesel,3488 cc,270/6400 cv/rpm,340/4800 N·m/rpm,inyección directa common rail turbo intercooler,6 en V,16,sí,N/D,N/D,N/D,N/D,N/D,N/D,delantero - delantera,automática 9 velocidades,255/50/R20,discos ventilados - discos ventilados,independiente tipo McPherson,Independiente Multi-Link,5004 mm,1978 mm,N/D,1800 mm,2900 mm,205/554/782 dm3,70 l,1996 kg,754 kg,180 mm,N/D,N/D,N/D,N/D,,,N/D,N/D,N/D,climatizador trizona,sí,"calefaccionables, con ajuste eléctrico solo conductor, con ajuste lumbar solo conductor, con memorias solo conductor","2da. fila abatibles 60/40 y 3ra. fila 50/50, abatibles 60/40",cuero,centralizado con comando a distancia,eléctricos - eléctricos,"con función de plegado eléctrico, con luz de giro incorporadas, eléctricos y térmicos",antideslumbrante automático,"con encendido y apagado automático, con luces led",delanteros,sí,"eléctrica, hidráulica progresiva",aleación,no tiene,"con ajuste en altura y profundidad, multifunción revestido en cuero",interna y a distancia solo baúl,delanteros y traseros,sí,sí,"conductor y acompañante, de cabeza delanteros (cortina), de rodilla conductor, laterales delanteros",alarma e inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,sí,"AM - FM y CD con lector de Mp3, con comandos de audio al volante",6,sí,,"táctil de 8""","asistente para arranque en pendientes, indicador de presión de neumáticos, sistema de advertencia de salida de carril, sistema de alerta del punto ciego",sí,sí,"con botón, con sistema remoto",sí,sí,sí,sí,periférica (360°),sí,,,,sí,,,,,,,,"levas de cambios al volante - paddle shifters, revestida en cuero",,,,,,,,,,,,,,,,,
nissan nv350 2.5l wide s-long MT,nissan,nv350 2.5l wide s-long,,,MT,,https://www.autocosmos.cl/catalogo/2025/nissan/pathfinder/35l-advance-4x2/179653,diesel,3488 cc,270/6400 cv/rpm,340/4800 N·m/rpm,inyección directa common rail turbo intercooler,6 en V,16,sí,N/D,N/D,N/D,N/D,N/D,N/D,delantero - delantera,automática 9 velocidades,255/50/R20,discos ventilados - discos ventilados,independiente tipo McPherson,Independiente Multi-Link,5004 mm,1978 mm,N/D,1800 mm,2900 mm,205/554/782 dm3,70 l,1996 kg,754 kg,180 mm,N/D,N/D,N/D,N/D,,,N/D,N/D,N/D,climatizador trizona,sí,"calefaccionables, con ajuste eléctrico solo conductor, con ajuste lumbar solo conductor, con memorias solo conductor","2da. fila abatibles 60/40 y 3ra. fila 50/50, abatibles 60/40",cuero,centralizado con comando a distancia,eléctricos - eléctricos,"con función de plegado eléctrico, con luz de giro incorporadas, eléctricos y térmicos",antideslumbrante automático,"con encendido y apagado automático, con luces led",delanteros,sí,"eléctrica, hidráulica progresiva",aleación,no tiene,"con ajuste en altura y profundidad, multifunción revestido en cuero",interna y a distancia solo baúl,delanteros y traseros,sí,sí,"conductor y acompañante, de cabeza delanteros (cortina), de rodilla conductor, laterales delanteros",alarma e inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,sí,"AM - FM y CD con lector de Mp3, con comandos de audio al volante",6,sí,,"táctil de 8""","asistente para arranque en pendientes, indicador de presión de neumáticos, sistema de advertencia de salida de carril, sistema de alerta del punto ciego",sí,sí,"con botón, con sistema remoto",sí,sí,sí,sí,periférica (360°),sí,,,,sí,,,,,,,,"levas de cambios al volante - paddle shifters, revestida en cuero",,,,,,,,,,,,,,,,,
nissan nv350 2.5l wide s-long school bus MT,nissan,nv350 2.5l wide s-long school bus,,,MT,,https://www.autocosmos.cl/catalogo/2025/nissan/pathfinder/35l-exclusive-4x4/179655,diesel,3488 cc,270/6400 cv/rpm,340/4800 N·m/rpm,inyección directa common rail turbo intercooler,6 en V,16,sí,N/D,N/D,N/D,N/D,N/D,N/D,delantero - integral,automática 9 velocidades,255/50/R20,discos ventilados - discos ventilados,independiente tipo McPherson,Independiente Multi-Link,5004 mm,1978 mm,N/D,1800 mm,2900 mm,205/554/782 dm3,70 l,2098 kg,652 kg,180 mm,N/D,N/D,N/D,N/D,,,N/D,N/D,N/D,climatizador trizona,sí,"calefaccionables, con ajuste eléctrico, con ajuste lumbar solo conductor, con memorias solo conductor","2da. fila abatibles 60/40 y 3ra. fila 50/50, abatibles 60/40",cuero,centralizado con comando a distancia,eléctricos - eléctricos,"con función de plegado eléctrico, con luz de giro incorporadas, eléctricos y térmicos",antideslumbrante automático,"con encendido y apagado automático, con luces led",delanteros,sí,"eléctrica, hidráulica progresiva",aleación,eléctrico,"con ajuste eléctrico y memorias, con ajuste en altura y profundidad, multifunción revestido en cuero",interna y a distancia solo baúl,delanteros y traseros,sí,sí,"conductor y acompañante, de cabeza delanteros (cortina), de rodilla conductor, laterales delanteros",alarma e inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,sí,"AM - FM y CD con lector de Mp3, con comandos de audio al volante",12,sí,,"táctil de 12,3""","advertencia de colisión con autofrenado, asistente para arranque en pendientes, control de descenso en pendientes, indicador de presión de neumáticos, sistema de advertencia de salida de carril, sistema de alerta del punto ciego",sí,adaptativa,"con botón, con sistema remoto",sí,sí,sí,sí,periférica (360°),sí,,,,sí,,,,,,,,"levas de cambios al volante - paddle shifters, revestida en cuero",,,,,,,,,,,,,,,,,
nissan nv350 wide s-long bus 2.5d MT,nissan,nv350 wide s-long bus 2.5d,,,MT,,https://www.autocosmos.cl/catalogo/2025/nissan/pathfinder/35l-exclusive-4x4/179655,diesel,3488 cc,270/6400 cv/rpm,340/4800 N·m/rpm,inyección directa common rail turbo intercooler,6 en V,16,sí,N/D,N/D,N/D,N/D,N/D,N/D,delantero - integral,automática 9 velocidades,255/50/R20,discos ventilados - discos ventilados,independiente tipo McPherson,Independiente Multi-Link,5004 mm,1978 mm,N/D,1800 mm,2900 mm,205/554/782 dm3,70 l,2098 kg,652 kg,180 mm,N/D,N/D,N/D,N/D,,,N/D,N/D,N/D,climatizador trizona,sí,"calefaccionables, con ajuste eléctrico, con ajuste lumbar solo conductor, con memorias solo conductor","2da. fila abatibles 60/40 y 3ra. fila 50/50, abatibles 60/40",cuero,centralizado con comando a distancia,eléctricos - eléctricos,"con función de plegado eléctrico, con luz de giro incorporadas, eléctricos y térmicos",antideslumbrante automático,"con encendido y apagado automático, con luces led",delanteros,sí,"eléctrica, hidráulica progresiva",aleación,eléctrico,"con ajuste eléctrico y memorias, con ajuste en altura y profundidad, multifunción revestido en cuero",interna y a distancia solo baúl,delanteros y traseros,sí,sí,"conductor y acompañante, de cabeza delanteros (cortina), de rodilla conductor, laterales delanteros",alarma e inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,sí,"AM - FM y CD con lector de Mp3, con comandos de audio al volante",12,sí,,"táctil de 12,3""","advertencia de colisión con autofrenado, asistente para arranque en pendientes, control de descenso en pendientes, indicador de presión de neumáticos, sistema de advertencia de salida de carril, sistema de alerta del punto ciego",sí,adaptativa,"con botón, con sistema remoto",sí,sí,sí,sí,periférica (360°),sí,,,,sí,,,,,,,,"levas de cambios al volante - paddle shifters, revestida en cuero",,,,,,,,,,,,,,,,,
nissan nv350 wide s-long bus 2.5d (school bus) MT,nissan,nv350 wide s-long bus 2.5d (school bus),,,MT,,https://www.autocosmos.cl/catalogo/2025/nissan/pathfinder/35l-exclusive-4x4/179655,diesel,3488 cc,270/6400 cv/rpm,340/4800 N·m/rpm,inyección directa common rail turbo intercooler,6 en V,16,sí,N/D,N/D,N/D,N/D,N/D,N/D,delantero - integral,automática 9 velocidades,255/50/R20,discos ventilados - discos ventilados,independiente tipo McPherson,Independiente Multi-Link,5004 mm,1978 mm,N/D,1800 mm,2900 mm,205/554/782 dm3,70 l,2098 kg,652 kg,180 mm,N/D,N/D,N/D,N/D,,,N/D,N/D,N/D,climatizador trizona,sí,"calefaccionables, con ajuste eléctrico, con ajuste lumbar solo conductor, con memorias solo conductor","2da. fila abatibles 60/40 y 3ra. fila 50/50, abatibles 60/40",cuero,centralizado con comando a distancia,eléctricos - eléctricos,"con función de plegado eléctrico, con luz de giro incorporadas, eléctricos y térmicos",antideslumbrante automático,"con encendido y apagado automático, con luces led",delanteros,sí,"eléctrica, hidráulica progresiva",aleación,eléctrico,"con ajuste eléctrico y memorias, con ajuste en altura y profundidad, multifunción revestido en cuero",interna y a distancia solo baúl,delanteros y traseros,sí,sí,"conductor y acompañante, de cabeza delanteros (cortina), de rodilla conductor, laterales delanteros",alarma e inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,sí,"AM - FM y CD con lector de Mp3, con comandos de audio al volante",12,sí,,"táctil de 12,3""","advertencia de colisión con autofrenado, asistente para arranque en pendientes, control de descenso en pendientes, indicador de presión de neumáticos, sistema de advertencia de salida de carril, sistema de alerta del punto ciego",sí,adaptativa,"con botón, con sistema remoto",sí,sí,sí,sí,periférica (360°),sí,,,,sí,,,,,,,,"levas de cambios al volante - paddle shifters, revestida en cuero",,,,,,,,,,,,,,,,,
nissan nv350 wide s-long bus 2.5l MT,nissan,nv350 wide s-long bus 2.5l,,,MT,,https://www.autocosmos.cl/catalogo/2025/nissan/pathfinder/35l-exclusive-4x4/179655,diesel,3488 cc,270/6400 cv/rpm,340/4800 N·m/rpm,inyección directa common rail turbo intercooler,6 en V,16,sí,N/D,N/D,N/D,N/D,N/D,N/D,delantero - integral,automática 9 velocidades,255/50/R20,discos ventilados - discos ventilados,independiente tipo McPherson,Independiente Multi-Link,5004 mm,1978 mm,N/D,1800 mm,2900 mm,205/554/782 dm3,70 l,2098 kg,652 kg,180 mm,N/D,N/D,N/D,N/D,,,N/D,N/D,N/D,climatizador trizona,sí,"calefaccionables, con ajuste eléctrico, con ajuste lumbar solo conductor, con memorias solo conductor","2da. fila abatibles 60/40 y 3ra. fila 50/50, abatibles 60/40",cuero,centralizado con comando a distancia,eléctricos - eléctricos,"con función de plegado eléctrico, con luz de giro incorporadas, eléctricos y térmicos",antideslumbrante automático,"con encendido y apagado automático, con luces led",delanteros,sí,"eléctrica, hidráulica progresiva",aleación,eléctrico,"con ajuste eléctrico y memorias, con ajuste en altura y profundidad, multifunción revestido en cuero",interna y a distancia solo baúl,delanteros y traseros,sí,sí,"conductor y acompañante, de cabeza delanteros (cortina), de rodilla conductor, laterales delanteros",alarma e inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,sí,"AM - FM y CD con lector de Mp3, con comandos de audio al volante",12,sí,,"táctil de 12,3""","advertencia de colisión con autofrenado, asistente para arranque en pendientes, control de descenso en pendientes, indicador de presión de neumáticos, sistema de advertencia de salida de carril, sistema de alerta del punto ciego",sí,adaptativa,"con botón, con sistema remoto",sí,sí,sí,sí,periférica (360°),sí,,,,sí,,,,,,,,"levas de cambios al volante - paddle shifters, revestida en cuero",,,,,,,,,,,,,,,,,
nissan nv350 wide s-long bus 2.5l (school bus) MT,nissan,nv350 wide s-long bus 2.5l (school bus),,,MT,,https://www.autocosmos.cl/catalogo/2025/nissan/pathfinder/35l-exclusive-4x4/179655,diesel,3488 cc,270/6400 cv/rpm,340/4800 N·m/rpm,inyección directa common rail turbo intercooler,6 en V,16,sí,N/D,N/D,N/D,N/D,N/D,N/D,delantero - integral,automática 9 velocidades,255/50/R20,discos ventilados - discos ventilados,independiente tipo McPherson,Independiente Multi-Link,5004 mm,1978 mm,N/D,1800 mm,2900 mm,205/554/782 dm3,70 l,2098 kg,652 kg,180 mm,N/D,N/D,N/D,N/D,,,N/D,N/D,N/D,climatizador trizona,sí,"calefaccionables, con ajuste eléctrico, con ajuste lumbar solo conductor, con memorias solo conductor","2da. fila abatibles 60/40 y 3ra. fila 50/50, abatibles 60/40",cuero,centralizado con comando a distancia,eléctricos - eléctricos,"con función de plegado eléctrico, con luz de giro incorporadas, eléctricos y térmicos",antideslumbrante automático,"con encendido y apagado automático, con luces led",delanteros,sí,"eléctrica, hidráulica progresiva",aleación,eléctrico,"con ajuste eléctrico y memorias, con ajuste en altura y profundidad, multifunción revestido en cuero",interna y a distancia solo baúl,delanteros y traseros,sí,sí,"conductor y acompañante, de cabeza delanteros (cortina), de rodilla conductor, laterales delanteros",alarma e inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,sí,"AM - FM y CD con lector de Mp3, con comandos de audio al volante",12,sí,,"táctil de 12,3""","advertencia de colisión con autofrenado, asistente para arranque en pendientes, control de descenso en pendientes, indicador de presión de neumáticos, sistema de advertencia de salida de carril, sistema de alerta del punto ciego",sí,adaptativa,"con botón, con sistema remoto",sí,sí,sí,sí,periférica (360°),sí,,,,sí,,,,,,,,"levas de cambios al volante - paddle shifters, revestida en cuero",,,,,,,,,,,,,,,,,
peugeot boxer escolar l2h2 25p bluehdi 160,peugeot,boxer escolar l2h2 25p bluehdi 160,,,,,https://www.autocosmos.cl/catalogo/2025/peugeot/boxer/20l-furgon-l2h2/179702,diesel,2000 cc,160/3750 cv/rpm,350/1750-2500 N·m/rpm,inyección directa common rail turbo intercooler,4 en línea,16,sí,sí,N/D,"11,3 km/l","13,9 km/l","12,8 km/l",156 km/h,delantero - delantera,manual 6 velocidades,225/75/R16,discos ventilados - discos sólidos,independiente tipo McPherson,ballesta semielíptica con amortiguadores telescópicos de doble efecto,5413 mm,2050 mm,N/D,2522 mm,3450 mm,11500 dm3,90 l,1965 kg,1535 kg,162/225 mm,,,,,3000 kg,750 kg,,,,manual,sí,"con ajuste en altura solo conductor, con ajuste manual",no tiene,tela,centralizado con comando a distancia,eléctricos - no tiene,eléctricos y térmicos,antideslumbrante manual,"con encendido y apagado automático, fijos",traseros,sí,hidráulica progresiva,acero,no tiene,"con ajuste en altura, multifunción",,,sí,sí,conductor,alarma e inmovilizador de motor,,delanteros inerciales,sí,sí,"AM - FM y CD con lector de Mp3, con comandos de audio al volante",N/D,sí,sí,táctil de 5'',asistente para arranque en pendientes,sí,sí,,sí,,sí,sí,trasera,sí,sí,sí,,,,sí,,"trasera derecha corrediza, traseras doble, batientes y vidriadas",,,,,,,,,,,,,,,,,,,,,
peugeot traveller active l3 8p bluehdi 150 mt6 2.0,peugeot,traveller active l3 8p bluehdi 150 mt6,2.0,,,,https://www.autocosmos.cl/catalogo/2025/peugeot/traveller/active-l3-8p-bluehdi-180-aut/179732,diesel,1997 cc,180/3750 cv/rpm,400/2000 N·m/rpm,inyección directa common rail turbo,4 en línea,16,N/D,sí,"8,8 s","15,5 km/l","18,6 km/l","17,3 km/l",170 km/h,delantero - delantera,automática 8 velocidades,215/60/R17,discos ventilados - discos sólidos,tipo Mcpherson independientes con barra de torsión,"brazos de control inferiores, brazo de control superior triangular, resortes helicoidales, barra estabilizadora y amortiguadores a gas",5309 mm,1920 mm,N/D,1935 mm,3275 mm,980/1300 dm3,69 l,1745 kg,1261 kg,N/D,,,,,2000 kg,800 kg,,,,climatizador bizona,sí,"con ajuste en profundidad solo conductor, con ajuste manual",2da. fila ajustables individualmente y 3ra. fila completos,tela,centralizado con comando a distancia,eléctricos - fijos,"con función de plegado eléctrico, eléctricos y térmicos",antideslumbrante automático,"con encendido y apagado automático, con luces led, con regulación interna",delanteros,sí,eléctrica,aleación,manual,"con ajuste en altura y profundidad, multifunción revestido en cuero",,,sí,sí,"conductor y acompañante, de cabeza delanteros (cortina), laterales delanteros",alarma e inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,sí,"AM - FM con lector MP3, con comandos de audio al volante",6,sí,sí,táctil de 7'',"indicador de presión de neumáticos, sistema de alerta por cansancio",N/D,sí,,sí,sí,sí,,,sí,sí,sí,,,sí,sí,,"trasera derecha corrediza, traseras doble, batientes y vidriadas",sí,,,levas de cambios al volante - paddle shifters,,,,,,,,,,,,,,,,,
