marca,tipo producto,model name,engine,drive,transmission,year,model name simplified,marca simplified,model url,engine simplified,drive simplified,transmission simplified,Version URL
nissan,suv,nueva mc- qashqai 2.0l advance,,,CVT,,nueva mc qashqai 20l advance,nissan,https://www.autocosmos.cl/catalogo/vigente/nissan/qashqai,nan,nan,cvt,https://www.autocosmos.cl/catalogo/2025/nissan/qashqai/advance/179666
nissan,suv,nueva mc- qashqai 2.0l advance,,,MT,,nueva mc qashqai 20l advance,nissan,https://www.autocosmos.cl/catalogo/vigente/nissan/qashqai,nan,nan,mt,https://www.autocosmos.cl/catalogo/2025/nissan/qashqai/advance/179666
nissan,suv,nueva mc- qashqai 2.0l sense,,,MT,,nueva mc qashqai 20l sense,nissan,https://www.autocosmos.cl/catalogo/vigente/nissan/qashqai,nan,nan,mt,https://www.autocosmos.cl/catalogo/2025/nissan/qashqai/sense/179665
nissan,suv,nueva pathfinder advance 3.5l,,4X2,CVT,,nueva pathfinder advance 35l,nissan,https://www.autocosmos.cl/catalogo/vigente/nissan/pathfinder,nan,4x2,cvt,https://www.autocosmos.cl/catalogo/2025/nissan/pathfinder/35l-advance-4x2/179653
nissan,suv,nueva pathfinder advance 3.5l,,4X4,CVT,,nueva pathfinder advance 35l,nissan,https://www.autocosmos.cl/catalogo/vigente/nissan/pathfinder,nan,4x4,cvt,https://www.autocosmos.cl/catalogo/2025/nissan/pathfinder/35l-advance-4x4/179654
nissan,suv,nueva pathfinder exclusive 3.5l,,4X4,CVT,,nueva pathfinder exclusive 35l,nissan,https://www.autocosmos.cl/catalogo/vigente/nissan/pathfinder,nan,4x4,cvt,https://www.autocosmos.cl/catalogo/2025/nissan/pathfinder/35l-exclusive-4x4/179655
nissan,suv,nueva pathfinder sense 3.5l,,4X2,CVT,,nueva pathfinder sense 35l,nissan,https://www.autocosmos.cl/catalogo/vigente/nissan/pathfinder,nan,4x2,cvt,https://www.autocosmos.cl/catalogo/2025/nissan/pathfinder/35l-sense-4x2/179652
nissan,suv,nueva x-trail 2.5l advance 3filas -multimedia,,,CVT,,nueva xtrail 25l advance 3filas multimedia,nissan,https://www.autocosmos.cl/catalogo/vigente/nissan/x-trail,nan,nan,cvt,https://www.autocosmos.cl/catalogo/2025/nissan/x-trail/25l-advance-3row/179650
nissan,suv,nueva x-trail 2.5l exclusive 3filas – multimedia,,4X4,CVT,,nueva xtrail 25l exclusive 3filas multimedia,nissan,https://www.autocosmos.cl/catalogo/vigente/nissan/x-trail,nan,4x4,cvt,https://www.autocosmos.cl/catalogo/2025/nissan/x-trail/25l-exclusive-3row-4x4/179651
nissan,suv,nueva x-trail 2.5l sense -multimedia,,,CVT,,nueva xtrail 25l sense multimedia,nissan,https://www.autocosmos.cl/catalogo/vigente/nissan/x-trail,nan,nan,cvt,https://www.autocosmos.cl/catalogo/2025/nissan/x-trail/25l-sense-2row/179648
nissan,suv,nueva x-trail 2.5l sense -multimedia,,2WD,CVT,,nueva xtrail 25l sense multimedia,nissan,https://www.autocosmos.cl/catalogo/vigente/nissan/x-trail,nan,2wd,cvt,https://www.autocosmos.cl/catalogo/2025/nissan/x-trail/25l-sense-2row/179648
nissan,suv,nueva x-trail 2.5l sense -multimedia,,4WD,CVT,,nueva xtrail 25l sense multimedia,nissan,https://www.autocosmos.cl/catalogo/vigente/nissan/x-trail,nan,4wd,cvt,https://www.autocosmos.cl/catalogo/2025/nissan/x-trail/25l-sense-2row/179648
nissan,suv,pathfinder 3.5l advance,,4X2,,,pathfinder 35l advance,nissan,https://www.autocosmos.cl/catalogo/vigente/nissan/pathfinder,nan,4x2,nan,https://www.autocosmos.cl/catalogo/2025/nissan/pathfinder/35l-advance-4x2/179653
nissan,suv,pathfinder 3.5l advance,,4X4,,,pathfinder 35l advance,nissan,https://www.autocosmos.cl/catalogo/vigente/nissan/pathfinder,nan,4x4,nan,https://www.autocosmos.cl/catalogo/2025/nissan/pathfinder/35l-advance-4x4/179654
nissan,suv,pathfinder 3.5l exclusive,,4X4,,,pathfinder 35l exclusive,nissan,https://www.autocosmos.cl/catalogo/vigente/nissan/pathfinder,nan,4x4,nan,https://www.autocosmos.cl/catalogo/2025/nissan/pathfinder/35l-exclusive-4x4/179655
nissan,suv,pathfinder 3.5l sense,,4X2,,,pathfinder 35l sense,nissan,https://www.autocosmos.cl/catalogo/vigente/nissan/pathfinder,nan,4x2,nan,https://www.autocosmos.cl/catalogo/2025/nissan/pathfinder/35l-sense-4x2/179652
nissan,suv,pathfinder advance 3.5l,,,CVT,,pathfinder advance 35l,nissan,https://www.autocosmos.cl/catalogo/vigente/nissan/pathfinder,nan,nan,cvt,https://www.autocosmos.cl/catalogo/2025/nissan/pathfinder/35l-advance-4x2/179653
nissan,suv,pathfinder advance 3.5l,,4WD,CVT,,pathfinder advance 35l,nissan,https://www.autocosmos.cl/catalogo/vigente/nissan/pathfinder,nan,4wd,cvt,https://www.autocosmos.cl/catalogo/2025/nissan/pathfinder/35l-advance-4x2/179653
nissan,suv,pathfinder advance,,2WD,AT,2024.0,pathfinder advance,nissan,https://www.autocosmos.cl/catalogo/vigente/nissan/pathfinder,nan,2wd,at,https://www.autocosmos.cl/catalogo/2025/nissan/pathfinder/35l-advance-4x2/179653
nissan,suv,pathfinder advance,,4WD,AT,2024.0,pathfinder advance,nissan,https://www.autocosmos.cl/catalogo/vigente/nissan/pathfinder,nan,4wd,at,https://www.autocosmos.cl/catalogo/2025/nissan/pathfinder/35l-advance-4x2/179653
nissan,suv,pathfinder exclusive 3.5l,,4WD,CVT,,pathfinder exclusive 35l,nissan,https://www.autocosmos.cl/catalogo/vigente/nissan/pathfinder,nan,4wd,cvt,https://www.autocosmos.cl/catalogo/2025/nissan/pathfinder/35l-exclusive-4x4/179655
nissan,suv,pathfinder exclusive,,4WD,AT,2024.0,pathfinder exclusive,nissan,https://www.autocosmos.cl/catalogo/vigente/nissan/pathfinder,nan,4wd,at,https://www.autocosmos.cl/catalogo/2025/nissan/pathfinder/35l-exclusive-4x4/179655
nissan,suv,pathfinder sense 3.5l,,,CVT,,pathfinder sense 35l,nissan,https://www.autocosmos.cl/catalogo/vigente/nissan/pathfinder,nan,nan,cvt,https://www.autocosmos.cl/catalogo/2025/nissan/pathfinder/35l-sense-4x2/179652
nissan,suv,pathfinder sense,,2WD,AT,2024.0,pathfinder sense,nissan,https://www.autocosmos.cl/catalogo/vigente/nissan/pathfinder,nan,2wd,at,https://www.autocosmos.cl/catalogo/2025/nissan/pathfinder/35l-sense-4x2/179652
nissan,suv,qashqai 2.0l advance,,,,,qashqai 20l advance,nissan,https://www.autocosmos.cl/catalogo/vigente/nissan/qashqai,nan,nan,nan,https://www.autocosmos.cl/catalogo/2025/nissan/qashqai/advance/179666
nissan,suv,qashqai 2.0l advance aut,,,,,qashqai 20l advance aut,nissan,https://www.autocosmos.cl/catalogo/vigente/nissan/qashqai,nan,nan,nan,https://www.autocosmos.cl/catalogo/2025/nissan/qashqai/advance/179666
nissan,suv,qashqai 2.0l advance aut mc,,,,,qashqai 20l advance aut mc,nissan,https://www.autocosmos.cl/catalogo/vigente/nissan/qashqai,nan,nan,nan,https://www.autocosmos.cl/catalogo/2025/nissan/qashqai/advance/179666
nissan,suv,qashqai 2.0l advance aut rm,,,,,qashqai 20l advance aut rm,nissan,https://www.autocosmos.cl/catalogo/vigente/nissan/qashqai,nan,nan,nan,https://www.autocosmos.cl/catalogo/2025/nissan/qashqai/advance/179666
nissan,suv,qashqai 2.0l advance – multimedia,,,CVT,,qashqai 20l advance multimedia,nissan,https://www.autocosmos.cl/catalogo/vigente/nissan/qashqai,nan,nan,cvt,https://www.autocosmos.cl/catalogo/2025/nissan/qashqai/advance/179666
nissan,suv,qashqai 2.0l advance mc,,,,,qashqai 20l advance mc,nissan,https://www.autocosmos.cl/catalogo/vigente/nissan/qashqai,nan,nan,nan,https://www.autocosmos.cl/catalogo/2025/nissan/qashqai/advance/179666
