MARCA,TIPO PRODUCTO,Model Name,Engine,Drive,Transmission,Year,Model Name Simplified,Marca Simplified,Model URL
SSANGYONG,CAMIONETA,MUSSO GRAND LX 2.2TD,,4X2,MT,2024,musso grand lx 22td,ssangyong,https://www.autocosmos.cl/catalogo/vigente/ssangyong/musso
SSANGYONG,CAMIONETA,MUSSO GRAND LX 2.2TD,,4X4,MT,2024,musso grand lx 22td,ssangyong,https://www.autocosmos.cl/catalogo/vigente/ssangyong/musso
SSANGYONG,CAMIONETA,MUSSO LIMITED 2.2TD,,4X4,AT,2024,musso limited 22td,ssangyong,https://www.autocosmos.cl/catalogo/vigente/ssangyong/musso
SSANGYONG,CAMIONETA,MUSSO LIMITED PLUS 2.2TD,,4X4,AT,2024,musso limited plus 22td,ssangyong,https://www.autocosmos.cl/catalogo/vigente/ssangyong/musso
TOYOTA,CAMIONETA,HILUX DX,2.4,4X2,MT,2024,hilux dx,toyota,https://www.autocosmos.cl/catalogo/vigente/toyota/hilux
TOYOTA,CAMIONETA,HILUX DX,2.4,4X4,MT,2024,hilux dx,toyota,https://www.autocosmos.cl/catalogo/vigente/toyota/hilux
TOYOTA,CAMIONETA,HILUX DX,2.8,4X4,MT,2024,hilux dx,toyota,https://www.autocosmos.cl/catalogo/vigente/toyota/hilux
TOYOTA,CAMIONETA,HILUX DX CS,2.8,4X4,MT,2024,hilux dx cs,toyota,https://www.autocosmos.cl/catalogo/vigente/toyota/hilux
TOYOTA,CAMIONETA,HILUX DX DC,2.4,4X2,MT,2024,hilux dx dc,toyota,https://www.autocosmos.cl/catalogo/vigente/toyota/hilux
TOYOTA,CAMIONETA,HILUX DX DC,2.4,4X4,MT,2024,hilux dx dc,toyota,https://www.autocosmos.cl/catalogo/vigente/toyota/hilux
TOYOTA,CAMIONETA,HILUX SR,2.4,4X2,MT,2024,hilux sr,toyota,https://www.autocosmos.cl/catalogo/vigente/toyota/hilux
TOYOTA,CAMIONETA,HILUX SR,2.4,4X4,MT,2024,hilux sr,toyota,https://www.autocosmos.cl/catalogo/vigente/toyota/hilux
TOYOTA,CAMIONETA,HILUX SR,2.7,4X2,MT,2024,hilux sr,toyota,https://www.autocosmos.cl/catalogo/vigente/toyota/hilux
TOYOTA,CAMIONETA,HILUX SR,2.8,4X4,MT,2024,hilux sr,toyota,https://www.autocosmos.cl/catalogo/vigente/toyota/hilux
TOYOTA,CAMIONETA,HILUX SR DC,2.4,4X2,MT,2024,hilux sr dc,toyota,https://www.autocosmos.cl/catalogo/vigente/toyota/hilux
TOYOTA,CAMIONETA,HILUX SR DC,2.4,4X4,MT,2024,hilux sr dc,toyota,https://www.autocosmos.cl/catalogo/vigente/toyota/hilux
TOYOTA,CAMIONETA,HILUX SRV,2.8,4X4,AT,2024,hilux srv,toyota,https://www.autocosmos.cl/catalogo/vigente/toyota/hilux
ZNA,CAMIONETA,R6,,,AT,2024,r6,zna,
BAIC,SEDÁN,EU5 EV,,,,2024,eu5 ev,baic,
BYD,SEDÁN,HAN EV,,,,2024,han ev,byd,https://www.autocosmos.cl/catalogo/vigente/byd/han-ev
BYD,SEDÁN,QIN PLUS DM,,,,2024,qin plus dm,byd,https://www.autocosmos.cl/catalogo/vigente/byd/qin
BYD,SEDÁN,SEAL EV,,,,2024,seal ev,byd,https://www.autocosmos.cl/catalogo/vigente/byd/seal
CHANGAN,SEDÁN,ALSVIN COMFORT,,,,2024,alsvin comfort,changan,https://www.autocosmos.cl/catalogo/vigente/changan/alsvin
CHANGAN,SEDÁN,ALSVIN ELITE,,,AT,2024,alsvin elite,changan,https://www.autocosmos.cl/catalogo/vigente/changan/alsvin
