MODEL,MARCA,Model Name,Engine,Drive,Transmission,Year,Version URL,Motor - Combustible,Motor - Cilindrada,Motor - Potencia,Motor - Torque,Motor - Alimentación,Motor - Cilindros,Motor - Válvulas,Motor - Catalítico,Motor - Sistema start / stop,Performance - Aceleración 0-100 km/h,Performance - Rendimiento en ciudad,Performance - Rendimiento en ruta,Performance - Rendimiento mixto,Performance - Velocidad máxima,Transmisión y chasis - Motor - tracción,Transmisión y chasis - Transmisión,Transmisión y chasis - Neumáticos,Transmisión y chasis - Frenos (del. - tras.),Transmisión y chasis - Suspensión delantera,Transmisión y chasis - Suspensión trasera,Medidas y capacidades - Largo,Medidas y capacidades - Ancho sin espejos,Medidas y capacidades - Ancho con espejos,Medidas y capacidades - Alto,Medidas y capacidades - Distancia entre ejes,Medidas y capacidades - Baúl,Medidas y capacidades - Tanque de combustible,Medidas y capacidades - Peso,Medidas y capacidades - Capacidad de carga,Medidas y capacidades - Altura de piso,Medidas y capacidades - Capacidad de vadeo,Medidas y capacidades - Ángulo de ataque,Medidas y capacidades - Ángulo de partida,Medidas y capacidades - Ángulo ventral,Medidas y capacidades - Remolque con frenos,Medidas y capacidades - Remolque sin frenos,Medidas y capacidades - Capacidad de pendiente,Medidas y capacidades - Escalonamiento vertical,Medidas y capacidades - Inclinación lateral,Confort - Aire acondicionado,Confort - Alarma de luces encendidas,Confort - Asientos delanteros,Confort - Asientos traseros,Confort - Tapizados,Confort - Cierre de puertas,Confort - Vidrios (del. - tras.),Confort - Espejos exteriores,Confort - Espejo interior,Confort - Faros delanteros,Confort - Faros antiniebla,Confort - Computadora de a bordo,Confort - Dirección asistida,Confort - Llantas,Confort - Techo solar,Confort - Volante,Confort - Apertura de baúl y tapa de combustible,Confort - Sensores de estacionamiento,Seguridad - ABS,Seguridad - Distribución electrónica de frenado,Seguridad - Airbags,Seguridad - Alarma e inmovilizador de motor,Seguridad - Anclaje para asientos infantiles,Seguridad - Cinturones de seguridad,Seguridad - Tercera luz de stop,Comunicación y entretenimiento - Equipo de música,Comunicación y entretenimiento - Parlantes,Comunicación y entretenimiento - Conexión auxiliar (iPod y Mp3),Comunicación y entretenimiento - Interfaz bluetooth,Comunicación y entretenimiento - Pantalla,Seguridad - Otros,Seguridad - Autobloqueo de puertas con velocidad,Seguridad - Control de estabilidad,Seguridad - Control de tracción,Confort - Control de velocidad crucero,Confort - Encendido del motor,Comunicación y entretenimiento - Apple Carplay / Android Auto,Confort - Cámara de visión,Seguridad - Asistencia en frenada de emergencia,Seguridad - Sensor de lluvia,Comunicación y entretenimiento - Conexión USB,Comunicación y entretenimiento - Reproducción de audio vía bluetooth,Comunicación y entretenimiento - Sistema de navegación,Comunicación y entretenimiento - Wi-Fi,Comunicación y entretenimiento - MirrorLink,Comunicación y entretenimiento - Recarga inalámbrica del celular,Confort - Limitador de velocidad,Confort - Limpialuneta,Comunicación y entretenimiento - Sistema de control por voz para dispositivos,Seguridad - Encendido automático de balizas,Seguridad - Luz de freno variable,Confort - Sistema de estacionamiento asistido,Batería - Cantidad de celdas,Batería - Cantidad de módulos,Batería - Potencia,Batería - Tipo,Batería - Voltaje,Batería - Ubicación,Motor eléctrico - Potencia,Motor eléctrico - Torque,Motor eléctrico - Voltaje,Confort - Palanca de cambios,Transmisión y chasis - Neumáticos delanteros,Transmisión y chasis - Neumáticos traseros,Motor - Potencia total sistema híbrido,Seguridad - Cabeceras delanteras activas,Comunicación y entretenimiento - Preinstalación teléfono,Comunicación y entretenimiento - Disco rígido,Confort - Puertas
KIA SPORTAGE EX DSL 2.0L AWD 8AT 2024,KIA,SPORTAGE EX DSL,2.0L,AWD,8AT,2024,https://www.autocosmos.cl/catalogo/2024/kia/sportage/20l-ex-dsl-awd-aut/177473,diesel,1998 cc,183/4000 cv/rpm,417/2000-2500 N·m/rpm,inyección directa common rail turbo,4 en línea,16,sí,sí,N/D,"11,9 km/l","18,5 km/l","15,4 km/l",N/D,delantero - integral,automática secuencial 8 velocidades,235/55/R19,discos ventilados - discos sólidos,McPherson,Multi-link,4660 mm,1865 mm,N/D,1660 mm,2755 mm,544/1830 dm3,54 l,N/D,N/D,181 mm,,,,,,,,,,climatizador bizona,sí,"calefaccionables y ventilados, con ajuste eléctrico, con ajuste lumbar solo conductor",abatibles 60/40,símil cuero,centralizado con comando a distancia,eléctricos - eléctricos,"con función de plegado eléctrico, con luz de giro incorporadas, eléctricos y térmicos",antideslumbrante automático,"con encendido automático, con luces led",delanteros y traseros,sí,eléctrica,aleación,eléctrico,"calefactable, con ajuste en altura y profundidad, multifunción revestido en cuero",,delanteros y traseros,sí,sí,"conductor y acompañante, de cabeza delanteros (cortina), laterales delanteros",alarma e inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,"AM - FM con lector MP3, con comandos de audio al volante, sistema de sonido Harman Kardon",N/D,sí,sí,"táctil de 12,3""","advertencia de colisión con autofrenado, asistente para arranque en pendientes, asistente para cambio de carril, control de descenso en pendientes, control de frenado en curva, indicador de presión de neumáticos, sistema de advertencia de salida de carril, sistema de alerta del punto ciego",sí,sí,,adaptativa,con botón,sí,periférica (360°),sí,sí,sí,,,,,sí,sí,sí,sí,sí,sí,,,,,,,,,,,"levas de cambios al volante - paddle shifters, revestida en cuero",,,,,,,
KIA SPORTAGE EX DSL BS 2.0L 8AT 2024,KIA,SPORTAGE EX DSL BS,2.0L,,8AT,2024,https://www.autocosmos.cl/catalogo/2024/kia/sportage/20l-ex-dsl-aut/178391,diesel,1998 cc,183/4000 cv/rpm,417/2000-2500 N·m/rpm,inyección directa common rail turbo,4 en línea,16,sí,sí,N/D,"12,5 km/l","20,0 km/l","16,4 km/l",N/D,delantero - delantera,automática secuencial 8 velocidades,235/65/R17,discos ventilados - discos sólidos,McPherson,Multi-link,4660 mm,1865 mm,N/D,1660 mm,2755 mm,544/1830 dm3,54 l,N/D,N/D,181 mm,,,,,,,,,,climatizador bizona,sí,con ajuste manual,abatibles 60/40,tela,centralizado con comando a distancia,eléctricos - eléctricos,"con función de plegado eléctrico, con luz de giro incorporadas, eléctricos y térmicos",antideslumbrante manual,con encendido automático,delanteros y traseros,sí,eléctrica,aleación,no tiene,"calefactable, con ajuste en altura y profundidad, multifunción revestido en cuero",,no tiene,sí,sí,"conductor y acompañante, de cabeza delanteros (cortina), laterales delanteros",alarma e inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,"AM - FM con lector MP3, con comandos de audio al volante",N/D,sí,sí,"táctil de 12,3""","asistente para arranque en pendientes, control de descenso en pendientes, indicador de presión de neumáticos",sí,sí,,sí,con botón,sí,trasera,sí,sí,sí,,,,,sí,sí,sí,sí,sí,sí,,,,,,,,,,,revestida en cuero,,,,,,,
MAXUS D60 ELITE 4X2 AT 2024,MAXUS,D60 ELITE,,4X2,AT,2024,https://www.autocosmos.cl/catalogo/2024/maxus/d60/elite/178576,bencina,1500 cc,180 cv/rpm,285 N·m/rpm,inyección electrónica,4 en línea,16,sí,N/D,N/D,N/D,N/D,N/D,N/D,delantero - trasera,automática DCT - 7 velocidades,235/55/R18,discos ventilados - discos sólidos,independiente tipo McPherson,Independiente Multi-Link,4720 mm,1860 mm,N/D,1736 mm,2760 mm,N/D,N/D,2300 kg,1000 kg,187 mm,550 mm,27°,24°,N/D,1000 kg,750 kg,N/D,N/D,N/D,climatizador,sí,"con ajuste eléctrico solo conductor, con ajuste en altura y lumbar para el conductor",N/D,símil cuero,centralizado con comando a distancia,eléctricos - eléctricos,"con función de plegado eléctrico, con luz de giro incorporadas, eléctricos y térmicos",antideslumbrante manual,con encendido y apagado automático,traseros,sí,eléctrica,aleación,no tiene,"con ajuste en altura, multifunción",,traseros,sí,sí,"conductor y acompañante, laterales delanteros",alarma e inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,"AM - FM con lector MP3, con comandos de audio al volante",6,sí,sí,"táctil de 10""",asistente para arranque en pendientes,N/D,sí,,,,sí,trasera,sí,sí,sí,,,,sí,,,,,,,,,,,,,,,,,,,,,,,,
MAXUS D60 LUXURY 4X2 AT 2024,MAXUS,D60 LUXURY,,4X2,AT,2024,https://www.autocosmos.cl/catalogo/2024/maxus/d60/luxury/178577,bencina,1500 cc,180 cv/rpm,285 N·m/rpm,inyección electrónica,4 en línea,16,sí,N/D,N/D,N/D,N/D,N/D,N/D,delantero - trasera,automática DCT - 7 velocidades,235/55/R18,discos ventilados - discos sólidos,independiente tipo McPherson,Independiente Multi-Link,4720 mm,1860 mm,N/D,1736 mm,2760 mm,N/D,N/D,2300 kg,1000 kg,187 mm,550 mm,27°,24°,N/D,1000 kg,750 kg,N/D,N/D,N/D,climatizador,sí,"con ajuste eléctrico, con ajuste en altura y lumbar para el conductor",N/D,símil cuero,centralizado con comando a distancia,eléctricos - eléctricos,"con función de plegado eléctrico, con luz de giro incorporadas, eléctricos y térmicos",antideslumbrante automático,"con encendido y apagado automático, con luces led",delanteros y traseros,sí,eléctrica,aleación,eléctrico,"con ajuste en altura, multifunción",,traseros,sí,sí,"conductor y acompañante, de cabeza delanteros (cortina), laterales delanteros",alarma e inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,"AM - FM con lector MP3, con comandos de audio al volante",6,sí,sí,"táctil de 10""","asistente para arranque en pendientes, sistema de alerta del punto ciego",N/D,sí,,,,sí,periférica (360°),sí,sí,sí,,,,sí,,,,,,,,,,,,,,,,,,,,,,,,
MAXUS D90 ELITE 4X4 AT 2024,MAXUS,D90 ELITE,,4X4,AT,2024,https://www.autocosmos.cl/catalogo/2024/maxus/d90/elite/178579,bencina,1500 cc,180 cv/rpm,285 N·m/rpm,inyección electrónica,4 en línea,16,sí,N/D,N/D,N/D,N/D,N/D,N/D,delantero - trasera,automática DCT - 7 velocidades,235/55/R18,discos ventilados - discos sólidos,independiente tipo McPherson,Independiente Multi-Link,5046 mm,2016 mm,N/D,1876 mm,2950 mm,N/D,N/D,2300 kg,1000 kg,187 mm,550 mm,27°,24°,N/D,1000 kg,750 kg,N/D,N/D,N/D,climatizador,sí,"con ajuste eléctrico solo conductor, con ajuste en altura y lumbar para el conductor",N/D,símil cuero,centralizado con comando a distancia,eléctricos - eléctricos,"con función de plegado eléctrico, con luz de giro incorporadas, eléctricos y térmicos",antideslumbrante manual,con encendido y apagado automático,traseros,sí,eléctrica,aleación,no tiene,"con ajuste en altura, multifunción",,traseros,sí,sí,"conductor y acompañante, laterales delanteros",alarma e inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,"AM - FM con lector MP3, con comandos de audio al volante",6,sí,sí,"táctil de 10""",asistente para arranque en pendientes,N/D,sí,,,,sí,trasera,sí,sí,sí,,,,sí,,,,,,,,,,,,,,,,,,,,,,,,
MAXUS D90 FLAGSHIP 4X4 AT 2024,MAXUS,D90 FLAGSHIP,,4X4,AT,2024,https://www.autocosmos.cl/catalogo/2024/maxus/d90/flagship/178581,bencina,1500 cc,180 cv/rpm,285 N·m/rpm,inyección electrónica,4 en línea,16,sí,N/D,N/D,N/D,N/D,N/D,N/D,delantero - trasera,automática DCT - 7 velocidades,235/55/R18,discos ventilados - discos sólidos,independiente tipo McPherson,Independiente Multi-Link,5046 mm,2016 mm,N/D,1876 mm,2950 mm,N/D,N/D,2300 kg,1000 kg,187 mm,550 mm,27°,24°,N/D,1000 kg,750 kg,N/D,N/D,N/D,climatizador,sí,"con ajuste eléctrico solo conductor, con ajuste en altura y lumbar para el conductor",N/D,símil cuero,centralizado con comando a distancia,eléctricos - eléctricos,"con función de plegado eléctrico, con luz de giro incorporadas, eléctricos y térmicos",antideslumbrante manual,con encendido y apagado automático,traseros,sí,eléctrica,aleación,no tiene,"con ajuste en altura, multifunción",,traseros,sí,sí,"conductor y acompañante, laterales delanteros",alarma e inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,"AM - FM con lector MP3, con comandos de audio al volante",6,sí,sí,"táctil de 10""",asistente para arranque en pendientes,N/D,sí,,,,sí,trasera,sí,sí,sí,,,,sí,,,,,,,,,,,,,,,,,,,,,,,,
MAXUS D90 LUXURY 4X4 AT 2024,MAXUS,D90 LUXURY,,4X4,AT,2024,https://www.autocosmos.cl/catalogo/2024/maxus/d90/luxury/178580,bencina,1500 cc,180 cv/rpm,285 N·m/rpm,inyección electrónica,4 en línea,16,sí,N/D,N/D,N/D,N/D,N/D,N/D,delantero - trasera,automática DCT - 7 velocidades,235/55/R18,discos ventilados - discos sólidos,independiente tipo McPherson,Independiente Multi-Link,5046 mm,2016 mm,N/D,1876 mm,2950 mm,N/D,N/D,2300 kg,1000 kg,187 mm,550 mm,27°,24°,N/D,1000 kg,750 kg,N/D,N/D,N/D,climatizador,sí,"con ajuste eléctrico solo conductor, con ajuste en altura y lumbar para el conductor",N/D,símil cuero,centralizado con comando a distancia,eléctricos - eléctricos,"con función de plegado eléctrico, con luz de giro incorporadas, eléctricos y térmicos",antideslumbrante manual,con encendido y apagado automático,traseros,sí,eléctrica,aleación,no tiene,"con ajuste en altura, multifunción",,traseros,sí,sí,"conductor y acompañante, laterales delanteros",alarma e inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,"AM - FM con lector MP3, con comandos de audio al volante",6,sí,sí,"táctil de 10""",asistente para arranque en pendientes,N/D,sí,,,,sí,trasera,sí,sí,sí,,,,sí,,,,,,,,,,,,,,,,,,,,,,,,
MAXUS EUNIQ 6 AT 2024,MAXUS,EUNIQ 6,,,AT,2024,https://www.autocosmos.cl/catalogo/2024/maxus/euniq-6/euniq/177583,,,,,,,,,sí,N/D,,,,160 km/h,delantero - delantera,automática,N/D,discos ventilados - discos sólidos,independiente tipo McPherson con barra estabilizadora,Multi-link,4735 mm,1860 mm,N/D,1736 mm,2760 mm,754 dm3,,2010 kg,275 kg,190 mm,190 mm,,,N/D,750 kg,,,,,climatizador,sí,"calefaccionables, con ajuste eléctrico",abatibles 60/40,cuero,centralizado,eléctricos - eléctricos,"con función de plegado eléctrico, eléctricos y térmicos",antideslumbrante automático,"con encendido automático, con luces de marcha diurna, con luces led",delanteros,sí,eléctrica,aleación,eléctrico,"con ajuste en altura y profundidad, multifunción revestido en cuero",,delanteros y traseros,sí,sí,"conductor y acompañante, de cabeza delanteros (cortina), laterales delanteros",alarma e inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,"AM - FM con lector MP3, con comandos de audio al volante",6,sí,sí,táctil de 12'',"advertencia de colisión con autofrenado, asistente para arranque en pendientes, asistente para cambio de carril, indicador de presión de neumáticos, sistema de advertencia de salida de carril, sistema de alerta del punto ciego",sí,sí,,adaptativa,con botón,sí,periférica (360°),sí,sí,sí,sí,satelital (GPS),,,sí,sí,,,,,sí,N/D,N/D,N/D,Litio ferrofosfato,220 V,central,174 cv/rpm,310 N·m/rpm,220 V,,,,,sí,"sí, con interfaz bluetooth",,
MG 3 STD 1.5 AT 2024,MG,3 STD,1.5,,AT,2024,https://www.autocosmos.cl/catalogo/2024/mg/3/15l-std-aut/177710,bencina,1498 cc,115 cv/rpm,150/4500 N·m/rpm,inyección directa,4 en línea,16,sí,no,N/D,"10,8 km/l","17,6 km/l","14,3 km/l",174 km/h,delantero - delantera,automática 4 velocidades,185/65/R15,discos ventilados - tambor,McPherson,barra de torsión,4055 mm,1729 mm,N/D,1521 mm,2520 mm,261 dm3,45 l,1190 kg,N/D,N/D,,,,,,,,,,manual,sí,con ajuste manual,abatibles 60/40,tela,centralizado con comando a distancia,eléctricos - eléctricos,"con luz de giro incorporadas, eléctricos",antideslumbrante manual,"con apagado automático, con luces led, fijos",traseros,sí,hidráulica,aleación,no tiene,con ajuste en altura,,traseros,sí,sí,conductor y acompañante,inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,AM - FM y CD con lector de Mp3,2,sí,sí,,control de frenado en curva,,sí,,,,,,sí,,sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MG HS COM 1.5T 2024,MG,HS COM,1.5T,,,2024,https://www.autocosmos.cl/catalogo/2024/mg/hs/15l-com/177717,bencina,1490 cc,166/5600 cv/rpm,250/1700-4400 N·m/rpm,inyección directa turbo,4 en línea,16,sí,sí,N/D,"11,1 km/l","15,5 km/l","13,5 km/l",190 km/h,delantero - delantera,manual 6 velocidades,215/60/R17,discos ventilados - discos sólidos,McPherson,Multi-link,4610 mm,1876 mm,N/D,1685 mm,2720 mm,463/1287 dm3,55 l,N/D,N/D,N/D,,,,,,,,,,manual,sí,"con ajuste en altura solo conductor, con ajuste manual",abatibles 60/40,símil cuero,centralizado con comando a distancia,eléctricos - eléctricos,"con función de plegado eléctrico, con luz de giro incorporadas, eléctricos y térmicos",antideslumbrante manual,"con apagado automático, con luces led, con regulación interna",traseros,sí,eléctrica,aleación,no tiene,"con ajuste en altura y profundidad, multifunción revestido en símil cuero",,traseros,sí,sí,"conductor y acompañante, laterales delanteros",alarma e inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,"AM - FM con lector MP3, con comandos de audio al volante",6,sí,sí,"táctil de 10,1""","asistente para arranque en pendientes, control de estabilidad antivuelco, control de frenado en curva, indicador de presión de neumáticos",sí,sí,sí,sí,con botón,sí,trasera,sí,,sí,sí,,,sí,,,,,,,,,,,,,,,,,,,,,sí,,,
MG HS DLX 1.5T DCT 2024,MG,HS DLX,1.5T,,DCT,2024,https://www.autocosmos.cl/catalogo/2024/mg/hs/15l-dlx-dct/177718,bencina,1490 cc,166/5600 cv/rpm,250/1700-4400 N·m/rpm,inyección directa turbo,4 en línea,16,sí,sí,N/D,"10,9 km/l","14,8 km/l","13,1 km/l",190 km/h,delantero - delantera,automática DCT - 7 velocidades,235/50/R18,discos ventilados - discos sólidos,McPherson,Multi-link,4610 mm,1876 mm,N/D,1685 mm,2720 mm,463/1287 dm3,55 l,N/D,N/D,N/D,,,,,,,,,,manual,sí,"calefaccionables, con ajuste eléctrico solo conductor, con ajuste en altura y lumbar solo conductor",abatibles 60/40,símil cuero,centralizado con comando a distancia,eléctricos - eléctricos,"con función de plegado eléctrico, con luz de giro incorporadas, eléctricos y térmicos",antideslumbrante manual,"con apagado automático, con luces led, con regulación interna",traseros,sí,eléctrica,aleación,eléctrico,"con ajuste en altura y profundidad, multifunción revestido en símil cuero",,traseros,sí,sí,"conductor y acompañante, laterales delanteros",alarma e inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,"AM - FM con lector MP3, con comandos de audio al volante",6,sí,sí,"táctil de 10,1""","asistente para arranque en pendientes, control de estabilidad antivuelco, control de frenado en curva, indicador de presión de neumáticos",sí,sí,sí,sí,con botón,sí,trasera,sí,,sí,sí,,,sí,,,,,,,,,,,,,,,,,,,,,sí,,,
MG HS TROPHY 1.5T DCT 2024,MG,HS TROPHY,1.5T,,DCT,2024,https://www.autocosmos.cl/catalogo/2024/mg/hs/15l-com/177717,bencina,1490 cc,166/5600 cv/rpm,250/1700-4400 N·m/rpm,inyección directa turbo,4 en línea,16,sí,sí,N/D,"11,1 km/l","15,5 km/l","13,5 km/l",190 km/h,delantero - delantera,manual 6 velocidades,215/60/R17,discos ventilados - discos sólidos,McPherson,Multi-link,4610 mm,1876 mm,N/D,1685 mm,2720 mm,463/1287 dm3,55 l,N/D,N/D,N/D,,,,,,,,,,manual,sí,"con ajuste en altura solo conductor, con ajuste manual",abatibles 60/40,símil cuero,centralizado con comando a distancia,eléctricos - eléctricos,"con función de plegado eléctrico, con luz de giro incorporadas, eléctricos y térmicos",antideslumbrante manual,"con apagado automático, con luces led, con regulación interna",traseros,sí,eléctrica,aleación,no tiene,"con ajuste en altura y profundidad, multifunción revestido en símil cuero",,traseros,sí,sí,"conductor y acompañante, laterales delanteros",alarma e inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,"AM - FM con lector MP3, con comandos de audio al volante",6,sí,sí,"táctil de 10,1""","asistente para arranque en pendientes, control de estabilidad antivuelco, control de frenado en curva, indicador de presión de neumáticos",sí,sí,sí,sí,con botón,sí,trasera,sí,,sí,sí,,,sí,,,,,,,,,,,,,,,,,,,,,sí,,,
MG MARVEL R DLX AT 2024,MG,MARVEL R DLX,,,AT,2024,https://www.autocosmos.cl/catalogo/2024/mg/marvel-r/dlx/177729,,,,,,,,,sí,N/D,,,,200 km/h,delantero - delantera,automática,235/45/R19,discos ventilados - discos ventilados,McPherson,Multi-link,4678 mm,1919 mm,N/D,1618 mm,2800 mm,N/D,,N/D,N/D,N/D,,,,,,,,,,climatizador bizona,sí,"calefaccionables, con ajuste eléctrico, con ajuste en altura y lumbar para el conductor, con memorias solo conductor",abatibles 60/40,símil cuero,centralizado con comando a distancia,eléctricos - eléctricos,"abatibles eléctricamente y memorias, con luz de giro incorporadas, eléctricos y térmicos",antideslumbrante automático,"con encendido y apagado automático, con luces led",delanteros y traseros,sí,eléctrica,aleación,eléctrico panorámico,"con ajuste en altura y profundidad, multifunción revestido en símil cuero","baúl eléctrico con apertura ""manos libres""",delanteros y traseros,sí,sí,"conductor y acompañante, de cabeza delanteros (cortina), laterales delanteros",alarma e inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,"AM - FM con lector MP3, con comandos de audio al volante",8,,sí,"táctil de 19,4""","advertencia de colisión con autofrenado, asistente para arranque en pendientes, asistente para cambio de carril, control de descenso en pendientes, control de estabilidad antivuelco, indicador de presión de neumáticos, sistema de advertencia de salida de carril, sistema de alerta del punto ciego",sí,sí,,adaptativa,,sí,periférica (360°),sí,sí,sí,,,,,sí,,sí,,,,,N/D,N/D,N/D,N/D,220 V,N/D,177 cv/rpm,410 N·m/rpm,N/D,,,,,,,,
MG MG ZS COM 1.5L AT 2024,MG,MG ZS COM,1.5L,,AT,2024,https://www.autocosmos.cl/catalogo/2024/mg/zs/15l-comfort/177721,bencina,1498 cc,114/6000 cv/rpm,150/4500 N·m/rpm,inyección directa,4 en línea,16,no,sí,N/D,"11,0 km/l","17,4 km/l","14,3 km/l",175 km/h,delantero - delantera,manual 5 velocidades,215/50/R17,discos ventilados - discos sólidos,McPherson,barra de torsión,4314 mm,1809 mm,N/D,1624 mm,2585 mm,N/D,48 l,1230 kg,N/D,N/D,,,,,,,,,,climatizador,sí,"con ajuste en altura solo conductor, con ajuste manual",abatibles 60/40,símil cuero,centralizado con comando a distancia,eléctricos - eléctricos,"con luz de giro incorporadas, eléctricos y térmicos",antideslumbrante manual,con luces led,delanteros,sí,eléctrica,aleación,no tiene,"con ajuste en altura, multifunción revestido en símil cuero",,traseros,sí,sí,conductor y acompañante,inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,"AM - FM con lector MP3, con comandos de audio al volante",6,sí,sí,"táctil de 8""",control de frenado en curva,,sí,,sí,,,trasera,,,sí,,,,,,,sí,,,,,,,,,,,,,,,,,,,,,
MG MG ZS STD 1.5L AT 2024,MG,MG ZS STD,1.5L,,AT,2024,https://www.autocosmos.cl/catalogo/2024/mg/zs/15l-std/177723,bencina,1498 cc,114/6000 cv/rpm,150/4500 N·m/rpm,inyección directa,4 en línea,16,no,sí,N/D,"11,0 km/l","17,4 km/l","14,3 km/l",175 km/h,delantero - delantera,manual 5 velocidades,205/60/R16,discos ventilados - discos sólidos,McPherson,barra de torsión,4314 mm,1809 mm,N/D,1624 mm,2585 mm,N/D,48 l,1230 kg,N/D,N/D,,,,,,,,,,manual,sí,con ajuste manual,abatibles 60/40,tela,centralizado con comando a distancia,eléctricos - eléctricos,"con luz de giro incorporadas, eléctricos",antideslumbrante manual,con luces led,delanteros,sí,eléctrica,aleación,no tiene,con ajuste en altura,,,sí,sí,conductor y acompañante,inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,AM - FM con lector MP3,4,sí,sí,,control de frenado en curva,,sí,,,,,,,,sí,,,,,,,sí,,,,,,,,,,,,,,,,,,,,,
MG ONE COM 1.5T CVT 2024,MG,ONE COM,1.5T,,CVT,2024,https://www.autocosmos.cl/catalogo/2024/mg/one/15t-cvt/177730,bencina,1490 cc,168 cv/rpm,275/2000-4000 N·m/rpm,inyección directa turbo,4 en línea,16,sí,sí,N/D,"10,4 km/l","16,4 km/l","13,6 km/l",175 km/h,delantero - delantera,automática CVT,225/55/R18,discos ventilados - discos ventilados,McPherson,Multi-link,4581 mm,1871 mm,N/D,1617 mm,2670 mm,N/D,55 l,N/D,N/D,N/D,,,,,,,,,,manual,sí,"con ajuste en altura solo conductor, con ajuste manual",abatibles 60/40,símil cuero,centralizado con comando a distancia,eléctricos - eléctricos,"con luz de giro incorporadas, eléctricos y térmicos",antideslumbrante manual,con luces led,delanteros,sí,eléctrica,aleación,no tiene,"con ajuste en altura, multifunción",,traseros,sí,sí,"conductor y acompañante, laterales delanteros",alarma e inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,"AM - FM con lector MP3, con comandos de audio al volante",4,sí,sí,"táctil de 12,3""","control de descenso en pendientes, control de estabilidad antivuelco, control de frenado en curva, indicador de presión de neumáticos",sí,,,sí,con botón,sí,trasera,sí,,sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MG ONE DLX 1.5T CVT 2024,MG,ONE DLX,1.5T,,CVT,2024,https://www.autocosmos.cl/catalogo/2024/mg/one/15t-cvt-dlx/177731,bencina,1490 cc,168 cv/rpm,275/2000-4000 N·m/rpm,inyección directa turbo,4 en línea,16,sí,sí,N/D,"10,4 km/l","16,4 km/l","13,6 km/l",175 km/h,delantero - delantera,automática CVT,225/50/R19,discos ventilados - discos ventilados,McPherson,Multi-link,4581 mm,1871 mm,N/D,1617 mm,2670 mm,N/D,55 l,N/D,N/D,N/D,,,,,,,,,,climatizador bizona,sí,"con ajuste eléctrico solo conductor, con ajuste en altura solo conductor, con ajuste manual",abatibles 60/40,símil cuero,centralizado con comando a distancia,eléctricos - eléctricos,"con función de plegado eléctrico, con luz de giro incorporadas, eléctricos y térmicos",antideslumbrante automático,"con encendido automático, con luces led",delanteros,sí,eléctrica,aleación,eléctrico,"con ajuste en altura, multifunción revestido en símil cuero",,traseros,sí,sí,"conductor y acompañante, de cabeza delanteros (cortina), laterales delanteros",alarma e inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,"AM - FM con lector MP3, con comandos de audio al volante",4,sí,sí,"táctil de 12,3""","advertencia de colisión con autofrenado, control de descenso en pendientes, control de estabilidad antivuelco, control de frenado en curva, indicador de presión de neumáticos, sistema de advertencia de salida de carril, sistema de alerta del punto ciego",sí,,,adaptativa,con botón,sí,trasera,sí,,sí,,,,,sí,,,,,,,,,,,,,,,,,,,,,,,
MG RX5 COM 1.5T 2024,MG,RX5 COM,1.5T,,,2024,https://www.autocosmos.cl/catalogo/2024/mg/5/15l-com/177711,bencina,1498 cc,113 cv/rpm,150/4500 N·m/rpm,inyección directa,4 en línea,16,sí,no,N/D,"10,9 km/l","18,4 km/l","14,7 km/l",185 km/h,delantero - delantera,manual 5 velocidades,205/55/R16,discos ventilados - discos sólidos,McPherson,Multi-link,4601 mm,1818 mm,N/D,1489 mm,2680 mm,512 dm3,45 l,1185 kg,N/D,N/D,,,,,,,,,,manual,sí,"con ajuste en altura solo conductor, con ajuste manual",abatibles 60/40,símil cuero,centralizado,eléctricos - eléctricos,"con luz de giro incorporadas, eléctricos y térmicos",antideslumbrante automático,"con apagado automático, con luces led",,sí,eléctrica,aleación,no tiene,"con ajuste en altura, multifunción revestido en símil cuero",,traseros,sí,sí,"conductor y acompañante, laterales delanteros",alarma,sí,"delanteros inerciales, traseros inerciales",sí,"AM - FM, con lector de Mp3 y WMA, con comandos de audio al volante",4,sí,sí,"táctil de 8""","control de frenado en curva, indicador de presión de neumáticos",sí,sí,sí,,,sí,trasera,sí,,sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,
