MARCA,TIPO PRODUCTO,Model Name,Engine,Drive,Transmission,Year,Model Name Simplified,Marca Simplified,Model URL,Engine Simplified,Drive Simplified,Transmission Simplified,Version URL
KIA,CAMIONETA,FRONTIER D/C LX AV AB,2.5L,,MT,2024,frontier dc lx av ab,kia,https://www.autocosmos.cl/catalogo/vigente/kia/frontier,25l,nan,mt,https://www.autocosmos.cl/catalogo/2024/kia/frontier/25l-deluxe/177492
KIA,CAMIONETA,FRONTIER P/UP LX AV AB,2.5L,,MT,2024,frontier pup lx av ab,kia,https://www.autocosmos.cl/catalogo/vigente/kia/frontier,25l,nan,mt,https://www.autocosmos.cl/catalogo/2024/kia/frontier/25l-deluxe/177492
MAXUS,CAMIONETA,T60 ANCAP E6,,4X4,MT,2024,t60 ancap e6,maxus,https://www.autocosmos.cl/catalogo/vigente/maxus/t60,nan,4x4,mt,https://www.autocosmos.cl/catalogo/2025/maxus/t60/28l-ancap-4x4/178572
MAXUS,CAMIONETA,T60 DX,,4X2,MT,2024,t60 dx,maxus,https://www.autocosmos.cl/catalogo/vigente/maxus/t60,nan,4x2,mt,https://www.autocosmos.cl/catalogo/2025/maxus/t60/24l-dx-4x2/178571
MAXUS,CAMIONETA,T60 DX E6,,4X2,MT,2024,t60 dx e6,maxus,https://www.autocosmos.cl/catalogo/vigente/maxus/t60,nan,4x2,mt,https://www.autocosmos.cl/catalogo/2025/maxus/t60/24l-dx-4x2/178571
MAXUS,CAMIONETA,T60 DX E6,,4X4,MT,2024,t60 dx e6,maxus,https://www.autocosmos.cl/catalogo/vigente/maxus/t60,nan,4x4,mt,https://www.autocosmos.cl/catalogo/2025/maxus/t60/28l-dx-4x4/178567
MAXUS,CAMIONETA,T60 E6 GL,,4X2,AT,2024,t60 e6 gl,maxus,https://www.autocosmos.cl/catalogo/vigente/maxus/t60,nan,4x2,at,https://www.autocosmos.cl/catalogo/2025/maxus/t60/28l-gl-4x2/178569
MAXUS,CAMIONETA,T60 E6 GL,,4X2,MT,2024,t60 e6 gl,maxus,https://www.autocosmos.cl/catalogo/vigente/maxus/t60,nan,4x2,mt,https://www.autocosmos.cl/catalogo/2025/maxus/t60/28l-gl-4x2/178569
MAXUS,CAMIONETA,T60 E6 GL,,4X4,MT,2024,t60 e6 gl,maxus,https://www.autocosmos.cl/catalogo/vigente/maxus/t60,nan,4x4,mt,https://www.autocosmos.cl/catalogo/2025/maxus/t60/28l-gl-4x4/178573
MAXUS,CAMIONETA,T60 E6 GLX,,4X4,AT,2024,t60 e6 glx,maxus,https://www.autocosmos.cl/catalogo/vigente/maxus/t60,nan,4x4,at,https://www.autocosmos.cl/catalogo/2025/maxus/t60/28l-gl-4x4/178573
MAXUS,CAMIONETA,T60 SC DX E6,,4X2,MT,2024,t60 sc dx e6,maxus,https://www.autocosmos.cl/catalogo/vigente/maxus/t60,nan,4x2,mt,https://www.autocosmos.cl/catalogo/2025/maxus/t60/24l-dx-4x2/178571
MAXUS,CAMIONETA,T60 SC DX E6,,4X4,MT,2024,t60 sc dx e6,maxus,https://www.autocosmos.cl/catalogo/vigente/maxus/t60,nan,4x4,mt,https://www.autocosmos.cl/catalogo/2025/maxus/t60/28l-dx-4x4/178567
MAXUS,CAMIONETA,T90 E6,,4X4,AT,2024,t90 e6,maxus,https://www.autocosmos.cl/catalogo/vigente/maxus/t90,nan,4x4,at,https://www.autocosmos.cl/catalogo/2024/maxus/t90/20l-4x4-aut/177582
MAXUS,CAMIONETA,T90 E6,,4X4,MT,2024,t90 e6,maxus,https://www.autocosmos.cl/catalogo/vigente/maxus/t90,nan,4x4,mt,https://www.autocosmos.cl/catalogo/2024/maxus/t90/20l-4x4-aut/177582
MAXUS,CAMIONETA,T90 EV,,4X2,AT,2024,t90 ev,maxus,https://www.autocosmos.cl/catalogo/vigente/maxus/t90-ev,nan,4x2,at,https://www.autocosmos.cl/catalogo/2024/maxus/t90-ev/4x2/177587
MAZDA,CAMIONETA,BT-50 CORE,,4X4,AT,2024,bt50 core,mazda,https://www.autocosmos.cl/catalogo/vigente/mazda/bt-50,nan,4x4,at,https://www.autocosmos.cl/catalogo/2024/mazda/bt-50/30l-4x4-core/178367
MAZDA,CAMIONETA,BT-50 CORE,,4X4,MT,2024,bt50 core,mazda,https://www.autocosmos.cl/catalogo/vigente/mazda/bt-50,nan,4x4,mt,https://www.autocosmos.cl/catalogo/2024/mazda/bt-50/30l-4x4-core/178367
MAZDA,CAMIONETA,BT-50 HIGH,,4X4,AT,2024,bt50 high,mazda,https://www.autocosmos.cl/catalogo/vigente/mazda/bt-50,nan,4x4,at,https://www.autocosmos.cl/catalogo/2024/mazda/bt-50/30l-4x4-high-aut/177645
MAZDA,CAMIONETA,BT-50 HIGH PLUS,,4X4,AT,2024,bt50 high plus,mazda,https://www.autocosmos.cl/catalogo/vigente/mazda/bt-50,nan,4x4,at,https://www.autocosmos.cl/catalogo/2024/mazda/bt-50/30l-4x4-high-plus-aut/177646
MITSUBISHI,CAMIONETA,L200 D/C TD DAKAR CRS,,4X4,MT,2024,l200 dc td dakar crs,mitsubishi,https://www.autocosmos.cl/catalogo/vigente/mitsubishi/l-200,nan,4x4,mt,https://www.autocosmos.cl/catalogo/2024/mitsubishi/l-200/24l-katana-crt-4x4/177755
MITSUBISHI,CAMIONETA,L200 D/C TD KATANA CR,,4X2,MT,2024,l200 dc td katana cr,mitsubishi,https://www.autocosmos.cl/catalogo/vigente/mitsubishi/l-200,nan,4x2,mt,https://www.autocosmos.cl/catalogo/2024/mitsubishi/l-200/24l-katana-cr-4x2/177753
MITSUBISHI,CAMIONETA,L200 D/C TD KATANA CRT,,4X4,MT,2024,l200 dc td katana crt,mitsubishi,https://www.autocosmos.cl/catalogo/vigente/mitsubishi/l-200,nan,4x4,mt,https://www.autocosmos.cl/catalogo/2024/mitsubishi/l-200/24l-katana-crt-4x4/177755
MITSUBISHI,CAMIONETA,L200 D/C TD WORK CR,,4X2,MT,2024,l200 dc td work cr,mitsubishi,https://www.autocosmos.cl/catalogo/vigente/mitsubishi/l-200,nan,4x2,mt,https://www.autocosmos.cl/catalogo/2024/mitsubishi/l-200/24l-work-cr-4x2/177754
NISSAN,CAMIONETA,NAVARA DC P4X,,,,2024,navara dc p4x,nissan,https://www.autocosmos.cl/catalogo/vigente/nissan/navara,nan,nan,nan,https://www.autocosmos.cl/catalogo/2024/nissan/navara/23d-pro-4x/177786
NISSAN,CAMIONETA,NAVARA DC PLATINUM 2.3D,,4X4,AT,2024,navara dc platinum 23d,nissan,https://www.autocosmos.cl/catalogo/vigente/nissan/navara,nan,4x4,at,https://www.autocosmos.cl/catalogo/2024/nissan/navara/platinum-4x4/178280
NISSAN,CAMIONETA,NAVARA DC PLATINUM 2.3D,,4X4,MT,2024,navara dc platinum 23d,nissan,https://www.autocosmos.cl/catalogo/vigente/nissan/navara,nan,4x4,mt,https://www.autocosmos.cl/catalogo/2024/nissan/navara/platinum-4x4/178280
NISSAN,CAMIONETA,NAVARA DC SE 2.3D,,4X2,MT,2024,navara dc se 23d,nissan,https://www.autocosmos.cl/catalogo/vigente/nissan/navara,nan,4x2,mt,https://www.autocosmos.cl/catalogo/2024/nissan/navara/se-4x2/177804
NISSAN,CAMIONETA,NAVARA DC SE 2.3D,,4X4,MT,2024,navara dc se 23d,nissan,https://www.autocosmos.cl/catalogo/vigente/nissan/navara,nan,4x4,mt,https://www.autocosmos.cl/catalogo/2024/nissan/navara/se-4x4/177805
NISSAN,CAMIONETA,NAVARA DC XE 2.3D,,4X2,MT,2024,navara dc xe 23d,nissan,https://www.autocosmos.cl/catalogo/vigente/nissan/navara,nan,4x2,mt,https://www.autocosmos.cl/catalogo/2024/nissan/navara/xe-4x2/177806
NISSAN,CAMIONETA,NAVARA DC XE 2.3D,,4X4,AT,2024,navara dc xe 23d,nissan,https://www.autocosmos.cl/catalogo/vigente/nissan/navara,nan,4x4,at,https://www.autocosmos.cl/catalogo/2024/nissan/navara/xe-4x4/177807
NISSAN,CAMIONETA,NAVARA DC XE 2.3D,,4X4,MT,2024,navara dc xe 23d,nissan,https://www.autocosmos.cl/catalogo/vigente/nissan/navara,nan,4x4,mt,https://www.autocosmos.cl/catalogo/2024/nissan/navara/xe-4x4/177807
PEUGEOT,CAMIONETA,LANDTREK ACTION4 BLUEHDI 180,,4X4,AT,2024,landtrek action4 bluehdi 180,peugeot,https://www.autocosmos.cl/catalogo/vigente/peugeot/landtrek,nan,4x4,at,https://www.autocosmos.cl/catalogo/2024/peugeot/landtrek/action4-bluehdi-180-4x4-aut/177871
PEUGEOT,CAMIONETA,LANDTREK ACTIVE BLUEHDI 180,,4X2,MT,2024,landtrek active bluehdi 180,peugeot,https://www.autocosmos.cl/catalogo/vigente/peugeot/landtrek,nan,4x2,mt,https://www.autocosmos.cl/catalogo/2024/peugeot/landtrek/active-bluehdi-180-4x2/177868
PEUGEOT,CAMIONETA,LANDTREK ACTIVE BLUEHDI 180,,4X4,AT,2024,landtrek active bluehdi 180,peugeot,https://www.autocosmos.cl/catalogo/vigente/peugeot/landtrek,nan,4x4,at,https://www.autocosmos.cl/catalogo/2024/peugeot/landtrek/active-bluehdi-180-4x4/177869
PEUGEOT,CAMIONETA,LANDTREK ACTIVE BLUEHDI 180,,4X4,MT,2024,landtrek active bluehdi 180,peugeot,https://www.autocosmos.cl/catalogo/vigente/peugeot/landtrek,nan,4x4,mt,https://www.autocosmos.cl/catalogo/2024/peugeot/landtrek/active-bluehdi-180-4x4/177869
RAM,CAMIONETA,BIGHORN LX,1.8,,AT,2024,bighorn lx,ram,,18,nan,at,
RAM,CAMIONETA,BIGHORN NIGHT EDITION,1.8,,AT,2024,bighorn night edition,ram,,18,nan,at,
RAM,CAMIONETA,REBEL,2.0,4X4,AT,2024,rebel,ram,,20,4x4,at,
