marca,numero licitacion,id producto,tipo producto,model name,engine,drive,transmission,year,model name simplified,marca simplified,model url,engine simplified,drive simplified,transmission simplified,Version URL
ford,2239-8-lr23,2042209,camioneta,ranger dsl xls,2.0,4X2,MT,2024.0,ranger dsl xls,ford,https://www.autocosmos.cl/catalogo/vigente/ford/ranger,20,4x2,mt,https://www.autocosmos.cl/catalogo/2025/ford/ranger/20l-xls-4x2/179043
ford,2239-8-lr23,2042243,camioneta,ranger dsl xls,2.0,4X4,MT,2024.0,ranger dsl xls,ford,https://www.autocosmos.cl/catalogo/vigente/ford/ranger,20,4x4,mt,https://www.autocosmos.cl/catalogo/2025/ford/ranger/20l-xls-4x4/179044
ford,2239-4-lr17,1670529,camioneta,ranger dsl xls 3.2l,,4X4,,,ranger dsl xls 32l,ford,https://www.autocosmos.cl/catalogo/vigente/ford/ranger,nan,4x4,nan,https://www.autocosmos.cl/catalogo/2025/ford/ranger/20l-xls-4x4/179044
ford,2239-8-lr23,2042260,camioneta,ranger dsl xlt,2.0,4X2,AT,2024.0,ranger dsl xlt,ford,https://www.autocosmos.cl/catalogo/vigente/ford/ranger,20,4x2,at,https://www.autocosmos.cl/catalogo/2025/ford/ranger/20l-xl-4x2/179041
ford,2239-8-lr23,2042294,camioneta,ranger dsl xlt,2.0,4X4,AT,2024.0,ranger dsl xlt,ford,https://www.autocosmos.cl/catalogo/vigente/ford/ranger,20,4x4,at,https://www.autocosmos.cl/catalogo/2025/ford/ranger/20l-xlt-4x4/179046
ford,2239-8-lr23,2042277,camioneta,ranger dsl xlt,2.0,4X4,MT,2024.0,ranger dsl xlt,ford,https://www.autocosmos.cl/catalogo/vigente/ford/ranger,20,4x4,mt,https://www.autocosmos.cl/catalogo/2025/ford/ranger/20l-xlt-4x4/179046
ford,2239-4-lr17,1670530,camioneta,ranger dsl xlt 3.2l,,4X2,,,ranger dsl xlt 32l,ford,https://www.autocosmos.cl/catalogo/vigente/ford/ranger,nan,4x2,nan,https://www.autocosmos.cl/catalogo/2025/ford/ranger/20l-xl-4x2/179041
ford,2239-4-lr17,1670531,camioneta,ranger dsl xlt 3.2l,,4X4,,,ranger dsl xlt 32l,ford,https://www.autocosmos.cl/catalogo/vigente/ford/ranger,nan,4x4,nan,https://www.autocosmos.cl/catalogo/2025/ford/ranger/20l-xlt-4x4/179046
ford,2239-4-lr17,1670532,camioneta,ranger dsl xlt 3.2l,,4X4,AT,,ranger dsl xlt 32l,ford,https://www.autocosmos.cl/catalogo/vigente/ford/ranger,nan,4x4,at,https://www.autocosmos.cl/catalogo/2025/ford/ranger/20l-xlt-4x4/179046
ford,2239-4-lr17,1670533,camioneta,ranger gas limited 2.5l cng,,,,,ranger gas limited 25l cng,ford,https://www.autocosmos.cl/catalogo/vigente/ford/ranger,nan,nan,nan,https://www.autocosmos.cl/catalogo/2025/ford/ranger/30l-limited-4x4-aut/179048
