Modelo,ID,our_id
case cx350c 2024,"[2044059, 2044060, 2044061, 2044063, 2044064, 2044068, 2044069]",186
case sr175,[1651970],187
case sr175b 2024,"[2043481, 2043482, 2043483, 2043485, 2043486, 2043490, 2043491]",188
case sr210b 2024,"[2043498, 2043499, 2043500, 2043502, 2043503, 2043507, 2043508]",189
case sr220,[1578256],190
case sr240b 2024,"[2043515, 2043516, 2043517, 2043519, 2043520, 2043524, 2043525]",191
caterpillar 140,[1668383],192
caterpillar 150,[1668381],193
caterpillar 150 awd (6 x 6),[1668382],194
caterpillar 226bf2,[1668235],195
caterpillar 232d ny,[1623405],196
caterpillar 236d ny,[1623402],197
caterpillar 246df2,[1668236],198
caterpillar 302.7d cr ny,[1631677],199
caterpillar 303.5e2 cr ny,[1631678],200
caterpillar 307e ny,[1631679],201
caterpillar 313d gc serie 2 ny,[1631675],202
caterpillar 318d l serie 2 ny,[1631676],203
caterpillar 320 07,[1668161],204
caterpillar 320 gc ny,[1631673],205
caterpillar 320 ny,[1631674],206
caterpillar 323 07,[1668160],207
caterpillar 323 ny,[1631672],208
caterpillar 330 07,[1668159],209
caterpillar 416f2,[1537194],210
caterpillar 420f2,[1537195],211
caterpillar 426f2,[1623360],212
caterpillar 924k ny,[1623399],213
caterpillar 930k ny,[1623400],214
caterpillar 938k ny,[1623401],215
caterpillar 950gc,[1668233],216
caterpillar 950l,[1668234],217
caterpillar cb2.7,[1668494],218
caterpillar cb24b ny,[1623520],219
caterpillar d6t ds f2,[1668528],220
caterpillar d8t ss/ms f2,[1668529],221
caterpillar dp30nm -2,[1623580],222
caterpillar dp50nm -2,[1623581],223
caterpillar dp70nm -2,[1623582],224
caterpillar gp20nm f2,[1668518],225
caterpillar gp25nm -2,[1623578],226
caterpillar gp30nm f2,[1668519],227
caterpillar horquilla porta pallet 1220mm,[1554511],228
changan alsvin 1.4l comfort,[1841188],229
changan alsvin 1.4l luxury,[1841189],230
changan alsvin comfort 2024,"[2050711, 2050713]",231
changan alsvin elite at 2024,"[2050745, 2050747]",232
changan alsvin luxury 2024,"[2050728, 2050730]",233
changan cs15 1.5l comfort,"[1668808, 1668808]",234
changan cs15 1.5l comfort connect,[1668809],235
changan cs15 1.5l comfort mt 2024,"[2051104, 2051106]",236
changan cs15 1.5l elite,"[1668810, 1668810]",237
changan cs15 1.5l elite at 2024,"[2051138, 2051140]",238
changan cs15 1.5l elite aut,"[1668811, 1668811]",239
changan cs15 1.5l elite mt 2024,"[2051121, 2051123]",240
changan cs15 1.5l luxury,"[1668812, 1668812]",241
changan cs15 1.5l luxury mt 2024,"[2051155, 2051157]",242
changan cs35 1.4l plus elite at 2024,"[2051172, 2051174]",243
changan cs35 1.4l plus lux at 2024,"[2051189, 2051191]",244
changan cs35 1.6l plus comfort mt 2024,"[2051206, 2051208]",245
changan cs35 1.6l plus luxury mt 2024,"[2051223, 2051225]",246
changan cs35 plus 1.4l elite,"[1668813, 1668813]",247
changan cs35 plus 1.4l luxury,"[1668814, 1668814]",248
changan cs35 plus 1.6l comfort,"[1668815, 1668815]",249
changan cs35 plus 1.6l luxury,"[1668817, 1668817]",250
changan cs55 1.5l comfort,"[1668818, 1668818]",251
changan cs55 1.5l comfort mt 2024,"[2051240, 2051242]",252
changan cs55 1.5l elite aut,"[1668819, 1668819]",253
changan cs55 1.5l luxury,"[1668820, 1668820]",254
changan cs55 1.5l luxury at 2024,"[2051274, 2051276]",255
