marca,tipo producto,Model Name,Engine,Drive,Transmission,Year
nissan,camioneta,np300 navara d23 dc se 2.3d,,,MT,
nissan,camioneta,np300 navara d23 dc se 2.3d,,4WD,MT,
nissan,camioneta,np300 navara d23 dc xe 2.3d,,,MT,
nissan,camioneta,np300 navara d23 dc xe 2.3d - radio,,,MT,
nissan,camioneta,np300 navara d23 dc xe 2.3d,,4WD,MT,
nissan,camioneta,np300 navara d23 dc xe 2.3d - radio,,4WD,MT,
nissan,camioneta,np300 navara d23 sc s 2.3d,,4WD,MT,
nissan,camioneta,np300 navara dc xe,2.5,,MT,
nissan,camioneta,np300 navara sc s 2.3d,,,MT,
nissan,camioneta,np300 navara sc s 2.3d,,4WD,MT,
peugeot,camioneta,boxer cabina l3 bluehdi 160,,,,
peugeot,camioneta,boxer doble cabina l4 bluehdi 160,,,,
peugeot,camioneta,landtrek action4 bluehdi 180,,4X4,AT,2024
peugeot,camioneta,landtrek active bluehdi 180,,4X2,MT,2024
peugeot,camioneta,landtrek active bluehdi 180,,4X4,AT,2024
peugeot,camioneta,landtrek active bluehdi 180,,4X4,MT,2024
ram,camioneta,big horn at6 lx,1.8,,,1000
ram,camioneta,bighorn lx,1.8,,AT,2024
ram,camioneta,bighorn night edition,1.8,,AT,2024
ram,camioneta,laramie,2.0,4X4,AT,1000
ram,camioneta,rebel,2.0,4X4,AT,2024
ram,camioneta,big horn,,,,1500
ram,camioneta,big horn 3.6l e torque,,,,1500
ram,camioneta,crew cab bighorn 3.6l,,,AT,2024
ram,camioneta,crew cab limited 5.7l,,,AT,2024
ram,camioneta,crew cab rebel 5.7l,,,AT,2024
ram,camioneta,laramie sport,,,,1500
ram,camioneta,limited,,,,1500
ram,camioneta,big horn crew cab diesel,6.7,,,2500
ram,camioneta,700 bighorn cd,1.3,,AT,2024
ram,camioneta,700 bighorn cd 1.3l,,,MT,2024
ram,camioneta,700 laramie cd,1.3,,AT,2024
ram,camioneta,700 laramie cd 1.3l,,,MT,2024
ram,camioneta,700 longhorn cd,1.3,,AT,2024
ram,camioneta,700 slt cs 1.3l,,,MT,2024
ram,camioneta,700 slt dc 1.3l,,,MT,2024
ram,camioneta,new ram crew cab big horn 3.6l e-torque,,,,1500
ram,camioneta,new ram crew cab laramie 5.7l,,,,1500
ram,camioneta,new ram crew cab laramie sport 5.7l,,,,1500
ram,camioneta,new ram crew cab limited 5.7l,,,,1500
ram,camioneta,ram 100 big horn lx,,,,
ram,camioneta,ram 100 laramie diesel,,4X4,,
ram,camioneta,ram big horn,,,,1000
ram,camioneta,ram quad cab 3.6l,,4X4,,1500
ram,camioneta,ram big horn,,,,2500
ram,camioneta,ram 700 big horn,,,,
ram,camioneta,ram 700 laramie,,,,
ram,camioneta,ram 700 slt cs,,,,
ram,camioneta,ram 700 slt dc,,,,
ram,camioneta,rampage bighorn 2.0l,,,AT,2024
ram,camioneta,rampage laramie 2.0l,,,AT,2024
ram,camioneta,rampage r/t 2.0l,,,AT,2024
renault,camioneta,oroch 1.6l zen,,,,
renault,camioneta,oroch 1.6l zen kit outsider,,,,
renault,camioneta,oroch 2.0l intens,,4X4,,
renault,camioneta,oroch intens turbo,1.3,4X2,AT,2024
renault,camioneta,oroch intens turbo kit,1.3,4X2,AT,2024
renault,camioneta,oroch intens turbo kitmt,1.3,4X4,,2024
renault,camioneta,oroch intens turbo,1.3,4X4,MT,2024
renault,camioneta,oroch zen 1.6l,,4X2,MT,2024
ssangyong,camioneta,all new musso full qs723,,4WD,AT,
ssangyong,camioneta,all new musso qs722,,4WD,AT,
ssangyong,camioneta,"musso 2,2 deluxe",,4X4,AT,
ssangyong,camioneta,musso deluxe full 2.2l,,4X4,AT,
ssangyong,camioneta,musso full 2.2l,,4X4,AT,
ssangyong,camioneta,musso full 2.2l,,4X4,MT,
ssangyong,camioneta,musso deluxe diesel 2.2l,,,,
ssangyong,camioneta,musso full diesel 2.2l,,,,
